DATE,DEDU,DEDU_peak,DUDE,DEDU_peak
2020-03-22 17:25:00,1.0278870033e+10,1.0278870033e+10,6.2655988993e+09,6.2655988993e+09
2020-03-22 17:30:00,1.1210076840e+10,1.1210076840e+10,5.4772322500e+09,5.4772322500e+09
2020-03-22 17:35:00,9.6372096767e+09,9.6372096767e+09,4.7312936878e+09,4.7312936878e+09
2020-03-22 17:40:00,1.0820794301e+10,1.0820794301e+10,6.9326227128e+09,6.9326227128e+09
2020-03-22 17:45:00,1.2138440861e+10,1.2138440861e+10,6.5437139639e+09,6.5437139639e+09
2020-03-22 17:50:00,1.1293266478e+10,1.1293266478e+10,6.5203505437e+09,6.5203505437e+09
2020-03-22 17:55:00,1.0907271239e+10,1.0907271239e+10,6.9737785890e+09,6.9737785890e+09
2020-03-22 18:00:00,1.0888196311e+10,1.0888196311e+10,6.3461485548e+09,6.3461485548e+09
2020-03-22 18:05:00,1.1473326947e+10,1.1473326947e+10,7.7017339203e+09,7.7017339203e+09
2020-03-22 18:10:00,1.0811298648e+10,1.0811298648e+10,8.3408592461e+09,8.3408592461e+09
2020-03-22 18:15:00,1.7134882192e+10,1.7134882192e+10,5.3885579530e+09,5.3885579530e+09
2020-03-22 18:20:00,1.1670136228e+10,1.1670136228e+10,4.6804584033e+09,4.6804584033e+09
2020-03-22 18:25:00,9.8727407016e+09,9.8727407016e+09,6.9076175358e+09,6.9076175358e+09
2020-03-22 18:30:00,1.0215549508e+10,1.0215549508e+10,8.3274739379e+09,8.3274739379e+09
2020-03-22 18:35:00,1.3193376503e+10,1.3193376503e+10,6.9691110901e+09,6.9691110901e+09
2020-03-22 18:40:00,1.2453546061e+10,1.2453546061e+10,6.8467463204e+09,6.8467463204e+09
2020-03-22 18:45:00,1.3197000711e+10,1.3197000711e+10,7.1019007780e+09,7.1019007780e+09
2020-03-22 18:50:00,1.4711291131e+10,1.4711291131e+10,5.8563342517e+09,5.8563342517e+09
2020-03-22 18:55:00,1.2233753273e+10,1.2233753273e+10,7.4522689141e+09,7.4522689141e+09
2020-03-22 19:00:00,1.4680770911e+10,1.4680770911e+10,6.2683361641e+09,6.2683361641e+09
2020-03-22 19:05:00,2.2711090694e+10,2.2711090694e+10,7.1290723330e+09,7.1290723330e+09
2020-03-22 19:10:00,1.4731809947e+10,1.4731809947e+10,8.2775942439e+09,8.2775942439e+09
2020-03-22 19:15:00,1.5953098056e+10,1.5953098056e+10,7.3608392569e+09,7.3608392569e+09
2020-03-22 19:20:00,1.2971948287e+10,1.2971948287e+10,7.5848047137e+09,7.5848047137e+09
2020-03-22 19:25:00,2.0169058320e+10,2.0169058320e+10,8.5160335486e+09,8.5160335486e+09
2020-03-22 19:30:00,1.9026465296e+10,1.9026465296e+10,8.6503527565e+09,8.6503527565e+09
2020-03-22 19:35:00,1.1711765177e+10,1.1711765177e+10,7.1264393746e+09,7.1264393746e+09
2020-03-22 19:40:00,1.0129031517e+10,1.0129031517e+10,6.7983788404e+09,6.7983788404e+09
2020-03-22 19:45:00,1.0555254169e+10,1.0555254169e+10,9.9004672671e+09,9.9004672671e+09
