DATE,ROBG,ROBG_peak,BGRO,BGRO_peak
2020-03-22 10:05:00,1.5962214525e+09,1.5962214525e+09,2.4204964071e+09,2.4204964071e+09
2020-03-22 10:10:00,1.6829059756e+09,1.6829059756e+09,2.0221263029e+09,2.0221263029e+09
2020-03-22 10:15:00,1.9319270933e+09,1.9319270933e+09,3.3196782109e+09,3.3196782109e+09
2020-03-22 10:20:00,2.3236539391e+09,2.3236539391e+09,3.2407033394e+09,3.2407033394e+09
2020-03-22 10:25:00,2.2908062018e+09,2.2908062018e+09,1.9522825160e+09,1.9522825160e+09
2020-03-22 10:30:00,2.2112294589e+09,2.2112294589e+09,1.9108426759e+09,1.9108426759e+09
2020-03-22 10:35:00,2.3798014906e+09,2.3798014906e+09,4.4844248414e+09,4.4844248414e+09
2020-03-22 10:40:00,2.3185232362e+09,2.3185232362e+09,6.8002777895e+09,6.8002777895e+09
2020-03-22 10:45:00,3.7581270179e+09,3.7581270179e+09,3.8480887714e+09,3.8480887714e+09
2020-03-22 10:50:00,3.6320321453e+09,3.6320321453e+09,3.5552992143e+09,3.5552992143e+09
2020-03-22 10:55:00,2.4986312284e+09,2.4986312284e+09,4.1171639544e+09,4.1171639544e+09
2020-03-22 11:00:00,2.4314712693e+09,2.4314712693e+09,2.4577024139e+09,2.4577024139e+09
2020-03-22 11:05:00,4.2611216623e+09,4.2611216623e+09,3.3059937658e+09,3.3059937658e+09
2020-03-22 11:10:00,3.1013976818e+09,3.1013976818e+09,3.3678769535e+09,3.3678769535e+09
2020-03-22 11:15:00,3.6043134369e+09,3.6043134369e+09,2.3253078977e+09,2.3253078977e+09
2020-03-22 11:20:00,5.5107288270e+09,5.5107288270e+09,2.7833782608e+09,2.7833782608e+09
2020-03-22 11:25:00,3.0242343693e+09,3.0242343693e+09,2.8742391343e+09,2.8742391343e+09
2020-03-22 11:30:00,2.3592319577e+09,2.3592319577e+09,2.7781199559e+09,2.7781199559e+09
2020-03-22 11:35:00,2.7928104222e+09,2.7928104222e+09,2.1773915617e+09,2.1773915617e+09
2020-03-22 11:40:00,2.4036117091e+09,2.4036117091e+09,2.7014027696e+09,2.7014027696e+09
2020-03-22 11:45:00,2.9677283262e+09,2.9677283262e+09,2.8270690623e+09,2.8270690623e+09
2020-03-22 11:50:00,2.3083596074e+09,2.3083596074e+09,2.7145723944e+09,2.7145723944e+09
2020-03-22 11:55:00,2.5815659166e+09,2.5815659166e+09,2.3417090076e+09,2.3417090076e+09
2020-03-22 12:00:00,2.4968841080e+09,2.4968841080e+09,2.7858550549e+09,2.7858550549e+09
2020-03-22 12:05:00,2.6135683820e+09,2.6135683820e+09,2.8325908544e+09,2.8325908544e+09
2020-03-22 12:10:00,5.4753233772e+09,5.4753233772e+09,2.3833419723e+09,2.3833419723e+09
2020-03-22 12:15:00,7.0995938425e+09,7.0995938425e+09,2.5018443024e+09,2.5018443024e+09
2020-03-22 12:20:00,1.0131149524e+10,1.0131149524e+10,2.6073936746e+09,2.6073936746e+09
2020-03-22 12:25:00,9.0219637335e+09,9.0219637335e+09,2.3285667501e+09,2.3285667501e+09
2020-03-22 12:30:00,8.2320211595e+09,8.2320211595e+09,2.5007437372e+09,2.5007437372e+09
2020-03-22 12:35:00,9.8721286255e+09,9.8721286255e+09,2.3752780901e+09,2.3752780901e+09
2020-03-22 12:40:00,8.2170942240e+09,8.2170942240e+09,2.6166445062e+09,2.6166445062e+09
2020-03-22 12:45:00,8.4648701325e+09,8.4648701325e+09,2.1585364516e+09,2.1585364516e+09
2020-03-22 12:50:00,8.2477421402e+09,8.2477421402e+09,2.6092988301e+09,2.6092988301e+09
