DATE,SKHU,SKHU_peak,HUSK,HUSK_peak
2020-03-23 14:00:00,1.2896271528e+07,1.2896271528e+07,4.6012567080e+08,4.6012567080e+08
2020-03-23 14:05:00,1.0559589443e+07,1.0559589443e+07,4.9982680454e+08,4.9982680454e+08
2020-03-23 14:10:00,1.2788784858e+07,1.2788784858e+07,4.7755611060e+08,4.7755611060e+08
2020-03-23 14:15:00,1.2597761901e+07,1.2597761901e+07,5.1316076474e+08,5.1316076474e+08
2020-03-23 14:20:00,1.5676552777e+07,1.5676552777e+07,6.0236752880e+08,6.0236752880e+08
2020-03-23 14:25:00,1.4992780053e+07,1.4992780053e+07,6.9185413815e+08,6.9185413815e+08
2020-03-23 14:30:00,1.5150370595e+07,1.5150370595e+07,6.9411576018e+08,6.9411576018e+08
2020-03-23 14:35:00,1.4824754164e+07,1.4824754164e+07,6.9227085710e+08,6.9227085710e+08
2020-03-23 14:40:00,1.6103125352e+08,1.6103125352e+08,7.2825334282e+08,7.2825334282e+08
2020-03-23 14:45:00,1.3634204025e+07,1.3634204025e+07,6.1661164928e+08,6.1661164928e+08
2020-03-23 14:50:00,3.5435020942e+07,3.5435020942e+07,5.4790080105e+08,5.4790080105e+08
2020-03-23 14:55:00,7.4075894747e+07,7.4075894747e+07,5.5157389166e+08,5.5157389166e+08
2020-03-23 15:00:00,2.2841768235e+07,2.2841768235e+07,6.4223722065e+08,6.4223722065e+08
2020-03-23 15:05:00,1.3463955983e+07,1.3463955983e+07,6.5254407358e+08,6.5254407358e+08
2020-03-23 15:10:00,9.2005300355e+06,9.2005300355e+06,7.1831554037e+08,7.1831554037e+08
2020-03-23 15:15:00,4.4218275395e+07,4.4218275395e+07,7.4056781643e+08,7.4056781643e+08
2020-03-23 15:20:00,4.7288013632e+07,4.7288013632e+07,7.2967055744e+08,7.2967055744e+08
2020-03-23 15:25:00,3.4204660503e+07,3.4204660503e+07,8.2819228592e+08,8.2819228592e+08
2020-03-23 15:30:00,3.5336789531e+07,3.5336789531e+07,8.0561057243e+08,8.0561057243e+08
2020-03-23 15:35:00,2.9067906586e+07,2.9067906586e+07,7.8140761066e+08,7.8140761066e+08
2020-03-23 15:40:00,2.9857087785e+07,2.9857087785e+07,7.5536457382e+08,7.5536457382e+08
2020-03-23 15:45:00,2.7283450160e+07,2.7283450160e+07,6.9755075564e+08,6.9755075564e+08
2020-03-23 15:50:00,1.8571761837e+07,1.8571761837e+07,6.7426830735e+08,6.7426830735e+08
2020-03-23 15:55:00,1.3577189127e+07,1.3577189127e+07,6.7879170977e+08,6.7879170977e+08
2020-03-23 16:00:00,1.0290697122e+07,1.0290697122e+07,6.6309554429e+08,6.6309554429e+08
2020-03-23 16:05:00,6.3997779752e+06,6.3997779752e+06,6.4033254944e+08,6.4033254944e+08
2020-03-23 16:10:00,7.9745271731e+06,7.9745271731e+06,7.1080123182e+08,7.1080123182e+08
2020-03-23 16:15:00,1.0122217870e+07,1.0122217870e+07,6.3443245118e+08,6.3443245118e+08
2020-03-23 16:20:00,1.6771142215e+07,1.6771142215e+07,6.6032260186e+08,6.6032260186e+08
2020-03-23 16:25:00,2.0113619294e+07,2.0113619294e+07,7.0606636487e+08,7.0606636487e+08
2020-03-23 16:30:00,2.8594648654e+07,2.8594648654e+07,8.0444045993e+08,8.0444045993e+08
2020-03-23 16:35:00,3.1430420639e+07,3.1430420639e+07,9.1852830028e+08,9.1852830028e+08
2020-03-23 16:40:00,3.0891429121e+07,3.0891429121e+07,9.0365354266e+08,9.0365354266e+08
2020-03-23 16:45:00,2.8669914144e+07,2.8669914144e+07,7.3006973222e+08,7.3006973222e+08
2020-03-23 16:50:00,2.2253323040e+07,2.2253323040e+07,5.5299277319e+08,5.5299277319e+08
2020-03-23 16:55:00,1.3660927999e+07,1.3660927999e+07,5.7052930378e+08,5.7052930378e+08
2020-03-23 17:00:00,7.4011788669e+06,7.4011788669e+06,5.3288668855e+08,5.3288668855e+08
2020-03-23 17:05:00,9.4244993765e+06,9.4244993765e+06,4.5341120825e+08,4.5341120825e+08
2020-03-23 17:10:00,7.1965233709e+06,7.1965233709e+06,4.9893148398e+08,4.9893148398e+08
2020-03-23 17:15:00,9.7644778823e+06,9.7644778823e+06,4.9846477158e+08,4.9846477158e+08
2020-03-23 17:20:00,1.4299155819e+07,1.4299155819e+07,4.5439955526e+08,4.5439955526e+08
2020-03-23 17:25:00,1.6742720054e+07,1.6742720054e+07,3.9551228952e+08,3.9551228952e+08
2020-03-23 17:30:00,1.6590188558e+07,1.6590188558e+07,3.7720782383e+08,3.7720782383e+08
2020-03-23 17:35:00,2.1448216853e+07,2.1448216853e+07,3.8686481730e+08,3.8686481730e+08
