DATE,HUSI,HUSI_peak,SIHU,HUSI_peak
2020-03-15 17:10:00,2.0940980898e+08,2.0940980898e+08,1.9123194350e+08,1.9123194350e+08
2020-03-15 17:15:00,2.0296188640e+08,2.0296188640e+08,1.9963420595e+08,1.9963420595e+08
2020-03-15 17:20:00,2.1388573255e+08,2.1388573255e+08,2.0405442717e+08,2.0405442717e+08
2020-03-15 17:25:00,2.3982963408e+08,2.3982963408e+08,2.4935642413e+08,2.4935642413e+08
2020-03-15 17:30:00,2.0731995526e+08,2.0731995526e+08,3.6392474638e+08,3.6392474638e+08
2020-03-15 17:35:00,1.6212226845e+08,1.6212226845e+08,5.1154310004e+08,5.1154310004e+08
2020-03-15 17:40:00,1.6023399789e+08,1.6023399789e+08,5.5395942967e+08,5.5395942967e+08
2020-03-15 17:45:00,1.4734516055e+08,1.4734516055e+08,5.3637386273e+08,5.3637386273e+08
2020-03-15 17:50:00,1.4915686622e+08,1.4915686622e+08,5.5261280858e+08,5.5261280858e+08
2020-03-15 17:55:00,1.7845389700e+08,1.7845389700e+08,7.3782544318e+08,7.3782544318e+08
2020-03-15 18:00:00,1.6422172162e+08,1.6422172162e+08,6.9396855051e+08,6.9396855051e+08
2020-03-15 18:05:00,1.9490127888e+08,1.9490127888e+08,4.3841312628e+08,4.3841312628e+08
2020-03-15 18:10:00,1.6137613213e+08,1.6137613213e+08,4.4509803551e+08,4.4509803551e+08
2020-03-15 18:15:00,2.2816119220e+08,2.2816119220e+08,3.8107790126e+08,3.8107790126e+08
2020-03-15 18:20:00,2.0923064848e+08,2.0923064848e+08,2.9658636452e+08,2.9658636452e+08
2020-03-15 18:25:00,2.8396913944e+08,2.8396913944e+08,3.5503148158e+08,3.5503148158e+08
2020-03-15 18:30:00,2.5538153428e+08,2.5538153428e+08,3.8623710552e+08,3.8623710552e+08
2020-03-15 18:35:00,3.1229485938e+08,3.1229485938e+08,3.6432363685e+08,3.6432363685e+08
2020-03-15 18:40:00,2.3329964617e+08,2.3329964617e+08,2.6977565153e+08,2.6977565153e+08
2020-03-15 18:45:00,3.0487524543e+08,3.0487524543e+08,3.7138303336e+08,3.7138303336e+08
2020-03-15 18:50:00,1.8163627733e+08,1.8163627733e+08,3.3956118565e+08,3.3956118565e+08
2020-03-15 18:55:00,2.3667157860e+08,2.3667157860e+08,3.5682006308e+08,3.5682006308e+08
2020-03-15 19:00:00,2.3871432180e+08,2.3871432180e+08,4.7550206744e+08,4.7550206744e+08
2020-03-15 19:05:00,2.2345527589e+08,2.2345527589e+08,5.7738549446e+08,5.7738549446e+08
2020-03-15 19:10:00,1.6063378967e+08,1.6063378967e+08,4.7508399481e+08,4.7508399481e+08
2020-03-15 19:15:00,2.1197293286e+08,2.1197293286e+08,5.3242212784e+08,5.3242212784e+08
