DATE,PTPR,PTPR_peak,PRPT,PRPT_peak
2020-03-15 17:25:00,9.9535668018e+08,9.9535668018e+08,6.2968587571e+08,6.2968587571e+08
2020-03-15 17:30:00,4.9416114997e+08,4.9416114997e+08,1.2889437672e+09,1.2889437672e+09
2020-03-15 17:35:00,4.8809511140e+08,4.8809511140e+08,6.6737619311e+08,6.6737619311e+08
2020-03-15 17:40:00,6.5996862664e+08,6.5996862664e+08,9.3147559998e+08,9.3147559998e+08
2020-03-15 17:45:00,5.4471147319e+08,5.4471147319e+08,1.3985489631e+09,1.3985489631e+09
2020-03-15 17:50:00,3.9371007021e+08,3.9371007021e+08,3.2001932019e+09,3.2001932019e+09
2020-03-15 17:55:00,2.4470994633e+08,2.4470994633e+08,1.8691473244e+09,1.8691473244e+09
2020-03-15 18:00:00,2.6171152218e+08,2.6171152218e+08,1.5916333360e+09,1.5916333360e+09
2020-03-15 18:05:00,2.5319491339e+08,2.5319491339e+08,8.1568820071e+08,8.1568820071e+08
2020-03-15 18:10:00,2.3104210170e+08,2.3104210170e+08,8.0020569064e+08,8.0020569064e+08
2020-03-15 18:15:00,2.5090878327e+08,2.5090878327e+08,2.3929276177e+09,2.3929276177e+09
2020-03-15 18:20:00,2.3666973698e+08,2.3666973698e+08,1.4409448848e+09,1.4409448848e+09
2020-03-15 18:25:00,2.6494247215e+08,2.6494247215e+08,1.3124493750e+09,1.3124493750e+09
2020-03-15 18:30:00,4.1053897821e+08,4.1053897821e+08,1.8902486453e+09,1.8902486453e+09
2020-03-15 18:35:00,4.0119045580e+08,4.0119045580e+08,1.8793610562e+09,1.8793610562e+09
2020-03-15 18:40:00,2.7322066591e+08,2.7322066591e+08,1.9982868194e+09,1.9982868194e+09
2020-03-15 18:45:00,2.5620986071e+08,2.5620986071e+08,1.7381469141e+09,1.7381469141e+09
2020-03-15 18:50:00,2.5715484014e+08,2.5715484014e+08,4.7232965655e+09,4.7232965655e+09
2020-03-15 18:55:00,2.7009719956e+08,2.7009719956e+08,1.5974163463e+09,1.5974163463e+09
2020-03-15 19:00:00,2.9768538162e+08,2.9768538162e+08,1.5032443798e+09,1.5032443798e+09
2020-03-15 19:05:00,2.9604302350e+08,2.9604302350e+08,1.1312670397e+09,1.1312670397e+09
2020-03-15 19:10:00,2.4669221737e+08,2.4669221737e+08,1.0631737963e+09,1.0631737963e+09
2020-03-15 19:15:00,2.2060877349e+08,2.2060877349e+08,1.3626060202e+09,1.3626060202e+09
2020-03-15 19:20:00,3.2714295738e+08,3.2714295738e+08,1.8424399213e+09,1.8424399213e+09
2020-03-15 19:25:00,2.7367978339e+08,2.7367978339e+08,6.2026752177e+09,6.2026752177e+09
2020-03-15 19:30:00,3.7438009885e+08,3.7438009885e+08,2.6854969433e+09,2.6854969433e+09
2020-03-15 19:35:00,1.9280639351e+08,1.9280639351e+08,8.8028504994e+08,8.8028504994e+08
2020-03-15 19:40:00,2.6037913862e+08,2.6037913862e+08,1.0444160388e+09,1.0444160388e+09
2020-03-15 19:45:00,2.5970751313e+08,2.5970751313e+08,1.0656208179e+09,1.0656208179e+09
