DATE,SKAT,SKAT_peak,ATSK,ATSK_peak
2020-03-22 16:25:00,1.5077227519e+09,1.5077227519e+09,3.6394140197e+09,3.6394140197e+09
2020-03-22 16:30:00,1.7133584041e+09,1.7133584041e+09,3.3658151965e+09,3.3658151965e+09
2020-03-22 16:35:00,1.2147369812e+09,1.2147369812e+09,3.3991092113e+09,3.3991092113e+09
2020-03-22 16:40:00,1.1325248738e+09,1.1325248738e+09,3.7332965509e+09,3.7332965509e+09
2020-03-22 16:45:00,1.1502242862e+09,1.1502242862e+09,4.7337292340e+09,4.7337292340e+09
2020-03-22 16:50:00,1.2006920936e+09,1.2006920936e+09,3.5306494654e+09,3.5306494654e+09
2020-03-22 16:55:00,9.3613985549e+08,9.3613985549e+08,3.6881507815e+09,3.6881507815e+09
2020-03-22 17:00:00,8.3073807284e+08,8.3073807284e+08,3.7550560640e+09,3.7550560640e+09
2020-03-22 17:05:00,9.2056660374e+08,9.2056660374e+08,2.5875672847e+09,2.5875672847e+09
2020-03-22 17:10:00,9.0781355095e+08,9.0781355095e+08,1.5478585724e+09,1.5478585724e+09
2020-03-22 17:15:00,1.0395173182e+09,1.0395173182e+09,1.1625757548e+09,1.1625757548e+09
2020-03-22 17:20:00,8.8888404352e+08,8.8888404352e+08,1.3116373872e+09,1.3116373872e+09
2020-03-22 17:25:00,1.0444220283e+09,1.0444220283e+09,1.4482541035e+09,1.4482541035e+09
2020-03-22 17:30:00,8.6985913690e+08,8.6985913690e+08,1.5562673125e+09,1.5562673125e+09
2020-03-22 17:35:00,9.6842980286e+08,9.6842980286e+08,1.2378947297e+09,1.2378947297e+09
2020-03-22 17:40:00,1.2490052954e+09,1.2490052954e+09,1.3860627594e+09,1.3860627594e+09
2020-03-22 17:45:00,1.1045969186e+09,1.1045969186e+09,1.4785683869e+09,1.4785683869e+09
2020-03-22 17:50:00,1.1337529650e+09,1.1337529650e+09,1.3509243236e+09,1.3509243236e+09
2020-03-22 17:55:00,1.2526136704e+09,1.2526136704e+09,1.1572192030e+09,1.1572192030e+09
2020-03-22 18:00:00,2.6946752936e+09,2.6946752936e+09,1.5370279269e+09,1.5370279269e+09
