DATE,BEUK,BEUK_peak,UKBE,BEUK_peak
2020-03-31 08:35:00,7.6598762444e+08,7.6598762444e+08,1.4551595589e+08,1.4551595589e+08
2020-03-31 08:40:00,7.4396794011e+08,7.4396794011e+08,2.1990910461e+08,2.1990910461e+08
2020-03-31 08:45:00,1.0753077341e+09,1.0753077341e+09,2.1337081251e+08,2.1337081251e+08
2020-03-31 08:50:00,7.1224116337e+08,7.1224116337e+08,1.8596937799e+08,1.8596937799e+08
2020-03-31 08:55:00,7.4945440708e+08,7.4945440708e+08,2.0151565337e+08,2.0151565337e+08
2020-03-31 09:00:00,7.5419083667e+08,7.5419083667e+08,2.8277597332e+08,2.8277597332e+08
2020-03-31 09:05:00,7.9423406295e+08,7.9423406295e+08,2.4318790184e+08,2.4318790184e+08
2020-03-31 09:10:00,8.8862332195e+08,8.8862332195e+08,2.2558279555e+08,2.2558279555e+08
2020-03-31 09:15:00,9.2039524861e+08,9.2039524861e+08,2.0875243854e+08,2.0875243854e+08
2020-03-31 09:20:00,1.1434725080e+09,1.1434725080e+09,2.3287719351e+08,2.3287719351e+08
2020-03-31 09:25:00,1.0205281274e+09,1.0205281274e+09,2.1898238299e+08,2.1898238299e+08
2020-03-31 09:30:00,8.8767808566e+08,8.8767808566e+08,2.4059910760e+08,2.4059910760e+08
2020-03-31 09:35:00,9.4630983159e+08,9.4630983159e+08,2.2539095461e+08,2.2539095461e+08
2020-03-31 09:40:00,1.1171994991e+09,1.1171994991e+09,2.1716606643e+08,2.1716606643e+08
2020-03-31 09:45:00,1.1711405763e+09,1.1711405763e+09,2.3483816594e+08,2.3483816594e+08
2020-03-31 09:50:00,9.3979881042e+08,9.3979881042e+08,2.0314074465e+08,2.0314074465e+08
2020-03-31 09:55:00,9.5057081616e+08,9.5057081616e+08,2.5433255356e+08,2.5433255356e+08
2020-03-31 10:00:00,1.0754530811e+09,1.0754530811e+09,2.2131054755e+08,2.2131054755e+08
2020-03-31 10:05:00,8.6834666154e+08,8.6834666154e+08,2.3917422929e+08,2.3917422929e+08
2020-03-31 10:10:00,9.0614468362e+08,9.0614468362e+08,2.1679653854e+08,2.1679653854e+08
2020-03-31 10:15:00,8.4159351790e+08,8.4159351790e+08,2.0095543038e+08,2.0095543038e+08
2020-03-31 10:20:00,8.8014275393e+08,8.8014275393e+08,1.9401549163e+08,1.9401549163e+08
2020-03-31 10:25:00,8.7332441446e+08,8.7332441446e+08,2.6251467797e+08,2.6251467797e+08
2020-03-31 10:30:00,8.8200210274e+08,8.8200210274e+08,2.1691277008e+08,2.1691277008e+08
2020-03-31 10:35:00,1.0124782832e+09,1.0124782832e+09,2.0649506082e+08,2.0649506082e+08
2020-03-31 10:40:00,9.5371000657e+08,9.5371000657e+08,2.1385915921e+08,2.1385915921e+08
2020-03-31 10:45:00,9.4675738203e+08,9.4675738203e+08,2.1037218728e+08,2.1037218728e+08
2020-03-31 10:50:00,9.2687458824e+08,9.2687458824e+08,2.1722967180e+08,2.1722967180e+08
2020-03-31 10:55:00,9.0944506359e+08,9.0944506359e+08,2.0141320700e+08,2.0141320700e+08
2020-03-31 11:00:00,8.5122101794e+08,8.5122101794e+08,2.0386549920e+08,2.0386549920e+08
2020-03-31 11:05:00,1.0831199656e+09,1.0831199656e+09,2.0905891703e+08,2.0905891703e+08
2020-03-31 11:10:00,1.1537479605e+09,1.1537479605e+09,2.1121052881e+08,2.1121052881e+08
2020-03-31 11:15:00,1.3526948194e+09,1.3526948194e+09,2.1163189403e+08,2.1163189403e+08
2020-03-31 11:20:00,1.0210819045e+09,1.0210819045e+09,1.8059908760e+08,1.8059908760e+08
2020-03-31 11:25:00,9.9065077183e+08,9.9065077183e+08,1.7638470892e+08,1.7638470892e+08
2020-03-31 11:30:00,9.5609904455e+08,9.5609904455e+08,1.6496658892e+08,1.6496658892e+08
2020-03-31 11:35:00,8.6417988003e+08,8.6417988003e+08,1.7076620901e+08,1.7076620901e+08
2020-03-31 11:40:00,8.1986239683e+08,8.1986239683e+08,1.7065682932e+08,1.7065682932e+08
2020-03-31 11:45:00,8.2580205360e+08,8.2580205360e+08,1.6662250458e+08,1.6662250458e+08
2020-03-31 11:50:00,9.6650296482e+08,9.6650296482e+08,1.2932669823e+08,1.2932669823e+08
2020-03-31 11:55:00,1.2970642835e+09,1.2970642835e+09,1.4822563194e+08,1.4822563194e+08
2020-03-31 12:00:00,1.0740992716e+09,1.0740992716e+09,1.4506454542e+08,1.4506454542e+08
2020-03-31 12:05:00,1.1331526999e+09,1.1331526999e+09,1.5952643658e+08,1.5952643658e+08
2020-03-31 12:10:00,1.1008880773e+09,1.1008880773e+09,2.0311136011e+08,2.0311136011e+08
2020-03-31 12:15:00,1.1607979292e+09,1.1607979292e+09,2.1573093600e+08,2.1573093600e+08
2020-03-31 12:20:00,9.7867550681e+08,9.7867550681e+08,2.4126582584e+08,2.4126582584e+08
2020-03-31 12:25:00,8.8887474095e+08,8.8887474095e+08,2.0373305998e+08,2.0373305998e+08
2020-03-31 12:30:00,9.3764404023e+08,9.3764404023e+08,2.1221026860e+08,2.1221026860e+08
2020-03-31 12:35:00,8.8981278851e+08,8.8981278851e+08,2.2783696459e+08,2.2783696459e+08
2020-03-31 12:40:00,8.7961485615e+08,8.7961485615e+08,2.2267345989e+08,2.2267345989e+08
2020-03-31 12:45:00,8.9004813456e+08,8.9004813456e+08,2.2190398216e+08,2.2190398216e+08
2020-03-31 12:50:00,9.6811021977e+08,9.6811021977e+08,2.0690875596e+08,2.0690875596e+08
2020-03-31 12:55:00,9.5602298263e+08,9.5602298263e+08,2.5140540841e+08,2.5140540841e+08
2020-03-31 13:00:00,1.0973468905e+09,1.0973468905e+09,2.2756498993e+08,2.2756498993e+08
2020-03-31 13:05:00,9.5003849833e+08,9.5003849833e+08,2.5010372211e+08,2.5010372211e+08
2020-03-31 13:10:00,1.5713783271e+09,1.5713783271e+09,2.1084819628e+08,2.1084819628e+08
2020-03-31 13:15:00,1.3354448114e+09,1.3354448114e+09,2.3619024457e+08,2.3619024457e+08
2020-03-31 13:20:00,1.1559341987e+09,1.1559341987e+09,2.3961870545e+08,2.3961870545e+08
2020-03-31 13:25:00,9.6577908892e+08,9.6577908892e+08,2.0884288055e+08,2.0884288055e+08
2020-03-31 13:30:00,8.8648874279e+08,8.8648874279e+08,2.0246667089e+08,2.0246667089e+08
2020-03-31 13:35:00,8.9267928937e+08,8.9267928937e+08,2.7191045350e+08,2.7191045350e+08
2020-03-31 13:40:00,9.8396723445e+08,9.8396723445e+08,2.0304310490e+08,2.0304310490e+08
2020-03-31 13:45:00,1.0380290208e+09,1.0380290208e+09,2.1761180429e+08,2.1761180429e+08
2020-03-31 13:50:00,1.0126049629e+09,1.0126049629e+09,1.7145857791e+08,1.7145857791e+08
2020-03-31 13:55:00,9.0927357738e+08,9.0927357738e+08,1.9798562114e+08,1.9798562114e+08
2020-03-31 14:00:00,9.8373855805e+08,9.8373855805e+08,1.9244649857e+08,1.9244649857e+08
2020-03-31 14:05:00,1.1589797349e+09,1.1589797349e+09,1.8563155159e+08,1.8563155159e+08
2020-03-31 14:10:00,1.1872195996e+09,1.1872195996e+09,1.9062569759e+08,1.9062569759e+08
2020-03-31 14:15:00,1.2104067341e+09,1.2104067341e+09,2.0256014956e+08,2.0256014956e+08
2020-03-31 14:20:00,1.0122483666e+09,1.0122483666e+09,1.8402096948e+08,1.8402096948e+08
2020-03-31 14:25:00,9.9984863824e+08,9.9984863824e+08,1.7906308865e+08,1.7906308865e+08
2020-03-31 14:30:00,9.2400367782e+08,9.2400367782e+08,1.8163830719e+08,1.8163830719e+08
2020-03-31 14:35:00,9.5043310822e+08,9.5043310822e+08,1.8877823929e+08,1.8877823929e+08
2020-03-31 14:40:00,1.2121346344e+09,1.2121346344e+09,1.7029211594e+08,1.7029211594e+08
2020-03-31 14:45:00,1.2147740077e+09,1.2147740077e+09,1.7405753745e+08,1.7405753745e+08
2020-03-31 14:50:00,9.9230876809e+08,9.9230876809e+08,1.5905286180e+08,1.5905286180e+08
2020-03-31 14:55:00,9.2386252353e+08,9.2386252353e+08,1.8992663021e+08,1.8992663021e+08
2020-03-31 15:00:00,9.8357361060e+08,9.8357361060e+08,1.9782577501e+08,1.9782577501e+08
2020-03-31 15:05:00,9.3925424335e+08,9.3925424335e+08,2.0035980467e+08,2.0035980467e+08
2020-03-31 15:10:00,9.9860823203e+08,9.9860823203e+08,2.0214258126e+08,2.0214258126e+08
2020-03-31 15:15:00,8.2687889700e+08,8.2687889700e+08,1.7945594288e+08,1.7945594288e+08
2020-03-31 15:20:00,7.3910790619e+08,7.3910790619e+08,1.9200234892e+08,1.9200234892e+08
2020-03-31 15:25:00,7.7402050755e+08,7.7402050755e+08,1.7124881083e+08,1.7124881083e+08
2020-03-31 15:30:00,9.0080995334e+08,9.0080995334e+08,1.5465585899e+08,1.5465585899e+08
2020-03-31 15:35:00,9.4832196796e+08,9.4832196796e+08,1.7786018362e+08,1.7786018362e+08
2020-03-31 15:40:00,8.3528972657e+08,8.3528972657e+08,1.5534447461e+08,1.5534447461e+08
2020-03-31 15:45:00,7.3803175780e+08,7.3803175780e+08,1.3731838886e+08,1.3731838886e+08
2020-03-31 15:50:00,8.9272513839e+08,8.9272513839e+08,1.3425909268e+08,1.3425909268e+08
2020-03-31 15:55:00,7.9212362901e+08,7.9212362901e+08,1.3615943317e+08,1.3615943317e+08
2020-03-31 16:00:00,7.4737756659e+08,7.4737756659e+08,1.2944334968e+08,1.2944334968e+08
2020-03-31 16:05:00,7.1920396928e+08,7.1920396928e+08,1.3838939187e+08,1.3838939187e+08
2020-03-31 16:10:00,6.5303770615e+08,6.5303770615e+08,1.3455756709e+08,1.3455756709e+08
2020-03-31 16:15:00,6.1625117533e+08,6.1625117533e+08,1.5930212908e+08,1.5930212908e+08
2020-03-31 16:20:00,5.5914853482e+08,5.5914853482e+08,1.4793809099e+08,1.4793809099e+08
2020-03-31 16:25:00,6.5133634955e+08,6.5133634955e+08,1.2447425792e+08,1.2447425792e+08
2020-03-31 16:30:00,8.0295845237e+08,8.0295845237e+08,1.2889617155e+08,1.2889617155e+08
2020-03-31 16:35:00,8.1338448501e+08,8.1338448501e+08,1.4525889318e+08,1.4525889318e+08
2020-03-31 16:40:00,6.5527273666e+08,6.5527273666e+08,1.1854697098e+08,1.1854697098e+08
2020-03-31 16:45:00,6.9964318026e+08,6.9964318026e+08,1.4238032696e+08,1.4238032696e+08
2020-03-31 16:50:00,6.2089818365e+08,6.2089818365e+08,1.1213385304e+08,1.1213385304e+08
2020-03-31 16:55:00,7.5397081664e+08,7.5397081664e+08,1.7655745193e+08,1.7655745193e+08
2020-03-31 17:00:00,6.7737308911e+08,6.7737308911e+08,2.0124343923e+08,2.0124343923e+08
2020-03-31 17:05:00,4.9310708151e+08,4.9310708151e+08,2.2073490239e+08,2.2073490239e+08
2020-03-31 17:10:00,5.1221687288e+08,5.1221687288e+08,2.1540004685e+08,2.1540004685e+08
2020-03-31 17:15:00,6.3064209109e+08,6.3064209109e+08,1.9001148240e+08,1.9001148240e+08
2020-03-31 17:20:00,6.2807234377e+08,6.2807234377e+08,1.3329748152e+08,1.3329748152e+08
2020-03-31 17:25:00,5.2188041104e+08,5.2188041104e+08,1.0751231091e+08,1.0751231091e+08
2020-03-31 17:30:00,5.0211837366e+08,5.0211837366e+08,1.0488668925e+08,1.0488668925e+08
2020-03-31 17:35:00,4.5243144575e+08,4.5243144575e+08,1.2691893768e+08,1.2691893768e+08
2020-03-31 17:40:00,9.2920729646e+08,9.2920729646e+08,9.7949815372e+07,9.7949815372e+07
2020-03-31 17:45:00,8.0026566812e+08,8.0026566812e+08,1.0069934802e+08,1.0069934802e+08
2020-03-31 17:50:00,5.7336490573e+08,5.7336490573e+08,1.1343637007e+08,1.1343637007e+08
2020-03-31 17:55:00,5.2479969194e+08,5.2479969194e+08,1.0297054353e+08,1.0297054353e+08
2020-03-31 18:00:00,6.3438423080e+08,6.3438423080e+08,1.2861926675e+08,1.2861926675e+08
2020-03-31 18:05:00,4.7066737883e+08,4.7066737883e+08,1.4772422394e+08,1.4772422394e+08
2020-03-31 18:10:00,6.7016060664e+08,6.7016060664e+08,1.0647118827e+08,1.0647118827e+08
2020-03-31 18:15:00,5.9965851912e+08,5.9965851912e+08,9.5383266938e+07,9.5383266938e+07
2020-03-31 18:20:00,5.2453140096e+08,5.2453140096e+08,8.8159800391e+07,8.8159800391e+07
2020-03-31 18:25:00,7.5259501779e+08,7.5259501779e+08,8.2526659423e+07,8.2526659423e+07
2020-03-31 18:30:00,5.3708343996e+08,5.3708343996e+08,7.6752913896e+07,7.6752913896e+07
