DATE,UKUI,UKUI_peak,UIUK,UIUK_peak
2020-03-31 02:00:00,5.7401303124e+10,5.7401303124e+10,5.2144988487e+10,5.2144988487e+10
2020-03-31 02:05:00,4.9553561629e+10,4.9553561629e+10,4.5625265037e+10,4.5625265037e+10
2020-03-31 02:10:00,4.6999950136e+10,4.6999950136e+10,4.7103060465e+10,4.7103060465e+10
2020-03-31 02:15:00,5.1915421642e+10,5.1915421642e+10,4.1428733226e+10,4.1428733226e+10
2020-03-31 02:20:00,5.2300976543e+10,5.2300976543e+10,4.2729874099e+10,4.2729874099e+10
2020-03-31 02:25:00,4.3981075915e+10,4.3981075915e+10,3.8477657580e+10,3.8477657580e+10
2020-03-31 02:30:00,4.8108603962e+10,4.8108603962e+10,4.2773993094e+10,4.2773993094e+10
2020-03-31 02:35:00,5.1490419059e+10,5.1490419059e+10,4.4939143235e+10,4.4939143235e+10
2020-03-31 02:40:00,4.9651287712e+10,4.9651287712e+10,5.3280426941e+10,5.3280426941e+10
2020-03-31 02:45:00,5.0645082059e+10,5.0645082059e+10,5.6101081340e+10,5.6101081340e+10
2020-03-31 02:50:00,5.5726980931e+10,5.5726980931e+10,6.1233280022e+10,6.1233280022e+10
2020-03-31 02:55:00,5.4014589274e+10,5.4014589274e+10,6.5495917474e+10,6.5495917474e+10
2020-03-31 03:00:00,5.3248087975e+10,5.3248087975e+10,7.1523419522e+10,7.1523419522e+10
2020-03-31 03:05:00,4.8371749691e+10,4.8371749691e+10,6.3263695289e+10,6.3263695289e+10
2020-03-31 03:10:00,5.2375663010e+10,5.2375663010e+10,6.3655761741e+10,6.3655761741e+10
2020-03-31 03:15:00,4.7112854725e+10,4.7112854725e+10,6.2449553101e+10,6.2449553101e+10
2020-03-31 03:20:00,4.6959944846e+10,4.6959944846e+10,6.6091592739e+10,6.6091592739e+10
2020-03-31 03:25:00,5.4649490511e+10,5.4649490511e+10,6.9677584718e+10,6.9677584718e+10
2020-03-31 03:30:00,5.1363860810e+10,5.1363860810e+10,6.9418955437e+10,6.9418955437e+10
2020-03-31 03:35:00,5.4033604144e+10,5.4033604144e+10,5.6755656687e+10,5.6755656687e+10
2020-03-31 03:40:00,5.6777080752e+10,5.6777080752e+10,5.5838592825e+10,5.5838592825e+10
2020-03-31 03:45:00,6.2285200281e+10,6.2285200281e+10,6.0860848255e+10,6.0860848255e+10
2020-03-31 03:50:00,5.7377635429e+10,5.7377635429e+10,6.3315167974e+10,6.3315167974e+10
2020-03-31 03:55:00,6.0100310948e+10,6.0100310948e+10,6.1976971600e+10,6.1976971600e+10
2020-03-31 04:00:00,6.1953228843e+10,6.1953228843e+10,6.3636372031e+10,6.3636372031e+10
2020-03-31 04:05:00,5.0977911306e+10,5.0977911306e+10,5.4656139794e+10,5.4656139794e+10
2020-03-31 04:10:00,5.3892589070e+10,5.3892589070e+10,5.2123758584e+10,5.2123758584e+10
2020-03-31 04:15:00,5.6079203111e+10,5.6079203111e+10,5.3933144431e+10,5.3933144431e+10
2020-03-31 04:20:00,5.8775304346e+10,5.8775304346e+10,5.4048899108e+10,5.4048899108e+10
2020-03-31 04:25:00,5.6055569531e+10,5.6055569531e+10,4.8191772173e+10,4.8191772173e+10
2020-03-31 04:30:00,6.1776674244e+10,6.1776674244e+10,5.1451392419e+10,5.1451392419e+10
2020-03-31 04:35:00,5.5088508678e+10,5.5088508678e+10,5.8426062186e+10,5.8426062186e+10
2020-03-31 04:40:00,5.0175893906e+10,5.0175893906e+10,3.9403558636e+10,3.9403558636e+10
2020-03-31 04:45:00,5.2878906156e+10,5.2878906156e+10,4.0632774023e+10,4.0632774023e+10
2020-03-31 04:50:00,5.2285432209e+10,5.2285432209e+10,3.1560862813e+10,3.1560862813e+10
2020-03-31 04:55:00,5.1745450082e+10,5.1745450082e+10,3.4884072236e+10,3.4884072236e+10
2020-03-31 05:00:00,6.1154444029e+10,6.1154444029e+10,3.2596289868e+10,3.2596289868e+10
2020-03-31 05:05:00,5.1594471434e+10,5.1594471434e+10,3.0890213329e+10,3.0890213329e+10
2020-03-31 05:10:00,5.8005652558e+10,5.8005652558e+10,4.3294572959e+10,4.3294572959e+10
2020-03-31 05:15:00,6.5801994528e+10,6.5801994528e+10,4.2465551099e+10,4.2465551099e+10
2020-03-31 05:20:00,6.3652834055e+10,6.3652834055e+10,4.1778726733e+10,4.1778726733e+10
2020-03-31 05:25:00,6.7360671563e+10,6.7360671563e+10,3.8505444090e+10,3.8505444090e+10
2020-03-31 05:30:00,7.2206236281e+10,7.2206236281e+10,4.2515466010e+10,4.2515466010e+10
2020-03-31 05:35:00,6.0759321950e+10,6.0759321950e+10,4.0374720871e+10,4.0374720871e+10
2020-03-31 05:40:00,5.4544605717e+10,5.4544605717e+10,3.5450179168e+10,3.5450179168e+10
2020-03-31 05:45:00,5.6118238869e+10,5.6118238869e+10,3.6508879915e+10,3.6508879915e+10
2020-03-31 05:50:00,5.8773332456e+10,5.8773332456e+10,4.1169106075e+10,4.1169106075e+10
2020-03-31 05:55:00,5.5092996470e+10,5.5092996470e+10,4.2115056274e+10,4.2115056274e+10
2020-03-31 06:00:00,5.9085896950e+10,5.9085896950e+10,3.7155115388e+10,3.7155115388e+10
2020-03-31 06:05:00,6.2899036856e+10,6.2899036856e+10,2.9178343572e+10,2.9178343572e+10
2020-03-31 06:10:00,5.4787411636e+10,5.4787411636e+10,3.3400730448e+10,3.3400730448e+10
2020-03-31 06:15:00,5.5128231607e+10,5.5128231607e+10,3.8811432612e+10,3.8811432612e+10
2020-03-31 06:20:00,5.5204586332e+10,5.5204586332e+10,3.2875562119e+10,3.2875562119e+10
2020-03-31 06:25:00,5.3833930643e+10,5.3833930643e+10,3.3485228454e+10,3.3485228454e+10
2020-03-31 06:30:00,5.0131412900e+10,5.0131412900e+10,3.3635113904e+10,3.3635113904e+10
2020-03-31 06:35:00,4.5221651306e+10,4.5221651306e+10,3.4510684376e+10,3.4510684376e+10
2020-03-31 06:40:00,5.0928471112e+10,5.0928471112e+10,4.7702779878e+10,4.7702779878e+10
2020-03-31 06:45:00,4.8015366196e+10,4.8015366196e+10,4.3096676629e+10,4.3096676629e+10
2020-03-31 06:50:00,5.3216999885e+10,5.3216999885e+10,5.2446687570e+10,5.2446687570e+10
2020-03-31 06:55:00,4.4003079422e+10,4.4003079422e+10,4.9823751090e+10,4.9823751090e+10
2020-03-31 07:00:00,4.6649801005e+10,4.6649801005e+10,5.5011283130e+10,5.5011283130e+10
2020-03-31 07:05:00,4.5033512613e+10,4.5033512613e+10,5.5758247995e+10,5.5758247995e+10
2020-03-31 07:10:00,4.2842529707e+10,4.2842529707e+10,4.9689766257e+10,4.9689766257e+10
2020-03-31 07:15:00,5.0035443147e+10,5.0035443147e+10,5.0634023325e+10,5.0634023325e+10
2020-03-31 07:20:00,4.7750948290e+10,4.7750948290e+10,4.2902656004e+10,4.2902656004e+10
2020-03-31 07:25:00,4.4174686218e+10,4.4174686218e+10,3.9775202938e+10,3.9775202938e+10
