DATE,ATHR,ATHR_peak,HRAT,ATHR_peak
2020-03-15 15:15:00,1.6833520741e+06,1.6833520741e+06,9.4811410916e+05,9.4811410916e+05
2020-03-15 15:20:00,1.5093581998e+06,1.5093581998e+06,1.0486951552e+06,1.0486951552e+06
2020-03-15 15:25:00,1.6435359518e+06,1.6435359518e+06,9.4179609956e+05,9.4179609956e+05
2020-03-15 15:30:00,1.9194270140e+06,1.9194270140e+06,9.7762535201e+05,9.7762535201e+05
2020-03-15 15:35:00,1.7535294935e+06,1.7535294935e+06,9.2776844594e+05,9.2776844594e+05
2020-03-15 15:40:00,1.3662610435e+06,1.3662610435e+06,9.4464150628e+05,9.4464150628e+05
2020-03-15 15:45:00,1.7641539113e+06,1.7641539113e+06,1.2105781859e+06,1.2105781859e+06
2020-03-15 15:50:00,1.9103387940e+06,1.9103387940e+06,1.3700881593e+06,1.3700881593e+06
2020-03-15 15:55:00,1.4951537938e+06,1.4951537938e+06,1.1371796885e+06,1.1371796885e+06
2020-03-15 16:00:00,1.3428801860e+06,1.3428801860e+06,9.9138644622e+05,9.9138644622e+05
2020-03-15 16:05:00,1.6320599829e+06,1.6320599829e+06,1.0985680044e+06,1.0985680044e+06
2020-03-15 16:10:00,1.5857126599e+06,1.5857126599e+06,1.0048578519e+06,1.0048578519e+06
2020-03-15 16:15:00,1.4140558836e+06,1.4140558836e+06,9.9648749653e+05,9.9648749653e+05
2020-03-15 16:20:00,1.5121039221e+06,1.5121039221e+06,1.2064161212e+06,1.2064161212e+06
2020-03-15 16:25:00,1.4967407500e+06,1.4967407500e+06,9.5569553333e+05,9.5569553333e+05
2020-03-15 16:30:00,1.7559860434e+06,1.7559860434e+06,9.4311340711e+05,9.4311340711e+05
2020-03-15 16:35:00,2.2659135100e+06,2.2659135100e+06,9.2585030258e+05,9.2585030258e+05
2020-03-15 16:40:00,2.0324273695e+06,2.0324273695e+06,9.7258733362e+05,9.7258733362e+05
2020-03-15 16:45:00,2.1432319922e+06,2.1432319922e+06,9.2435939893e+05,9.2435939893e+05
2020-03-15 16:50:00,1.9046001588e+06,1.9046001588e+06,9.9205322940e+05,9.9205322940e+05
2020-03-15 16:55:00,2.5820928370e+06,2.5820928370e+06,1.1219142261e+06,1.1219142261e+06
2020-03-15 17:00:00,1.7743769227e+06,1.7743769227e+06,1.1393819116e+06,1.1393819116e+06
2020-03-15 17:05:00,1.5605691175e+06,1.5605691175e+06,1.0233451469e+06,1.0233451469e+06
2020-03-15 17:10:00,1.7940802781e+06,1.7940802781e+06,1.1472110322e+06,1.1472110322e+06
2020-03-15 17:15:00,1.6836486717e+06,1.6836486717e+06,1.1238146369e+06,1.1238146369e+06
