DATE,PLAT,PLAT_peak,ATPL,ATPL_peak
2020-03-15 13:50:00,5.8173937238e+08,5.8173937238e+08,4.2486371757e+07,4.2486371757e+07
2020-03-15 13:55:00,7.5170272583e+08,7.5170272583e+08,4.1183688318e+07,4.1183688318e+07
2020-03-15 14:00:00,6.4561390244e+08,6.4561390244e+08,3.9135352652e+07,3.9135352652e+07
2020-03-15 14:05:00,7.0140908347e+08,7.0140908347e+08,3.1821767280e+07,3.1821767280e+07
2020-03-15 14:10:00,6.6850702101e+08,6.6850702101e+08,1.7458575216e+08,1.7458575216e+08
2020-03-15 14:15:00,7.0486771462e+08,7.0486771462e+08,3.1935046842e+07,3.1935046842e+07
2020-03-15 14:20:00,1.1945481206e+09,1.1945481206e+09,3.2015917585e+07,3.2015917585e+07
2020-03-15 14:25:00,6.6139637042e+08,6.6139637042e+08,3.2639754345e+07,3.2639754345e+07
2020-03-15 14:30:00,7.1461964777e+08,7.1461964777e+08,2.9340036125e+07,2.9340036125e+07
2020-03-15 14:35:00,8.0525198409e+08,8.0525198409e+08,2.5539757034e+07,2.5539757034e+07
2020-03-15 14:40:00,8.0424684945e+08,8.0424684945e+08,1.1209837198e+08,1.1209837198e+08
2020-03-15 14:45:00,8.1532823324e+08,8.1532823324e+08,2.0536147883e+07,2.0536147883e+07
2020-03-15 14:50:00,1.2591227886e+09,1.2591227886e+09,2.0339127579e+07,2.0339127579e+07
2020-03-15 14:55:00,9.1846810618e+08,9.1846810618e+08,2.0770404908e+07,2.0770404908e+07
2020-03-15 15:00:00,7.8899388011e+08,7.8899388011e+08,1.2102481914e+08,1.2102481914e+08
2020-03-15 15:05:00,7.6598081065e+08,7.6598081065e+08,2.9366150929e+07,2.9366150929e+07
2020-03-15 15:10:00,6.2578453313e+08,6.2578453313e+08,5.2184732079e+08,5.2184732079e+08
2020-03-15 15:15:00,8.5385711401e+08,8.5385711401e+08,3.1016851436e+07,3.1016851436e+07
2020-03-15 15:20:00,8.4147910769e+08,8.4147910769e+08,2.3474171250e+07,2.3474171250e+07
2020-03-15 15:25:00,7.1117429212e+08,7.1117429212e+08,1.8273132543e+07,1.8273132543e+07
2020-03-15 15:30:00,5.6431907013e+08,5.6431907013e+08,1.5800526615e+07,1.5800526615e+07
2020-03-15 15:35:00,7.3375530200e+08,7.3375530200e+08,1.9688459055e+07,1.9688459055e+07
2020-03-15 15:40:00,6.9675365222e+08,6.9675365222e+08,3.1031250375e+07,3.1031250375e+07
2020-03-15 15:45:00,6.5285768564e+08,6.5285768564e+08,9.9454939885e+07,9.9454939885e+07
2020-03-15 15:50:00,7.2613335805e+08,7.2613335805e+08,1.9310233529e+07,1.9310233529e+07
2020-03-15 15:55:00,6.0069793687e+08,6.0069793687e+08,1.8298455517e+07,1.8298455517e+07
2020-03-15 16:00:00,7.1065210653e+08,7.1065210653e+08,2.3966822512e+07,2.3966822512e+07
2020-03-15 16:05:00,6.6633229752e+08,6.6633229752e+08,2.0359468678e+07,2.0359468678e+07
2020-03-15 16:10:00,7.0442392157e+08,7.0442392157e+08,2.1186022297e+07,2.1186022297e+07
2020-03-15 16:15:00,7.6520120480e+08,7.6520120480e+08,2.1104537034e+07,2.1104537034e+07
2020-03-15 16:20:00,7.2471031994e+08,7.2471031994e+08,1.7697454518e+07,1.7697454518e+07
2020-03-15 16:25:00,8.1784963107e+08,8.1784963107e+08,8.4312236653e+07,8.4312236653e+07
2020-03-15 16:30:00,7.5504167301e+08,7.5504167301e+08,1.8900048774e+07,1.8900048774e+07
2020-03-15 16:35:00,6.7767772697e+08,6.7767772697e+08,2.6675474478e+07,2.6675474478e+07
2020-03-15 16:40:00,7.4643151627e+08,7.4643151627e+08,5.3040083734e+08,5.3040083734e+08
2020-03-15 16:45:00,7.1583553403e+08,7.1583553403e+08,2.9583331010e+07,2.9583331010e+07
2020-03-15 16:50:00,8.0710183699e+08,8.0710183699e+08,2.1991226685e+07,2.1991226685e+07
2020-03-15 16:55:00,6.9908743725e+08,6.9908743725e+08,2.2008041449e+07,2.2008041449e+07
2020-03-15 17:00:00,7.5465055098e+08,7.5465055098e+08,2.2946424987e+07,2.2946424987e+07
2020-03-15 17:05:00,6.4678364779e+08,6.4678364779e+08,1.8122410873e+07,1.8122410873e+07
2020-03-15 17:10:00,8.1657400031e+08,8.1657400031e+08,2.2062029446e+07,2.2062029446e+07
2020-03-15 17:15:00,1.3007440572e+09,1.3007440572e+09,2.0365302520e+07,2.0365302520e+07
2020-03-15 17:20:00,7.9532228326e+08,7.9532228326e+08,2.0942810077e+07,2.0942810077e+07
2020-03-15 17:25:00,6.8878030514e+08,6.8878030514e+08,2.0849390492e+07,2.0849390492e+07
2020-03-15 17:30:00,7.0385009637e+08,7.0385009637e+08,2.4623114107e+07,2.4623114107e+07
2020-03-15 17:35:00,6.5223672131e+08,6.5223672131e+08,1.8607320674e+07,1.8607320674e+07
2020-03-15 17:40:00,6.7673900227e+08,6.7673900227e+08,1.8668761990e+07,1.8668761990e+07
2020-03-15 17:45:00,6.6231320094e+08,6.6231320094e+08,2.2439177139e+07,2.2439177139e+07
2020-03-15 17:50:00,7.2706321968e+08,7.2706321968e+08,9.6879895958e+07,9.6879895958e+07
2020-03-15 17:55:00,8.0906602332e+08,8.0906602332e+08,4.3677721421e+07,4.3677721421e+07
2020-03-15 18:00:00,7.3200779299e+08,7.3200779299e+08,3.8853868578e+07,3.8853868578e+07
2020-03-15 18:05:00,6.8872496305e+08,6.8872496305e+08,3.4713579644e+07,3.4713579644e+07
2020-03-15 18:10:00,7.5557451786e+08,7.5557451786e+08,4.8949651461e+07,4.8949651461e+07
