DATE,DECH,DECH_peak,CHDE,CHDE_peak
2020-03-15 12:10:00,3.2525552161e+10,3.2525552161e+10,5.4100793031e+10,5.4100793031e+10
2020-03-15 12:15:00,2.5664146536e+10,2.5664146536e+10,3.7953038938e+10,3.7953038938e+10
2020-03-15 12:20:00,3.1309661731e+10,3.1309661731e+10,5.8835776492e+10,5.8835776492e+10
2020-03-15 12:25:00,2.9772711639e+10,2.9772711639e+10,3.8563518587e+10,3.8563518587e+10
2020-03-15 12:30:00,2.6120677006e+10,2.6120677006e+10,3.4843608389e+10,3.4843608389e+10
2020-03-15 12:35:00,2.6576138043e+10,2.6576138043e+10,3.5789320154e+10,3.5789320154e+10
2020-03-15 12:40:00,3.2195912361e+10,3.2195912361e+10,3.0695627491e+10,3.0695627491e+10
2020-03-15 12:45:00,2.9832000313e+10,2.9832000313e+10,4.7081618015e+10,4.7081618015e+10
2020-03-15 12:50:00,2.9235610912e+10,2.9235610912e+10,3.4214492282e+10,3.4214492282e+10
2020-03-15 12:55:00,3.1899334908e+10,3.1899334908e+10,3.0263660019e+10,3.0263660019e+10
2020-03-15 13:00:00,3.0047858445e+10,3.0047858445e+10,3.8147286676e+10,3.8147286676e+10
2020-03-15 13:05:00,2.7548496773e+10,2.7548496773e+10,3.4811355716e+10,3.4811355716e+10
2020-03-15 13:10:00,3.1842544869e+10,3.1842544869e+10,4.6738243267e+10,4.6738243267e+10
2020-03-15 13:15:00,3.9941580420e+10,3.9941580420e+10,5.2978058030e+10,5.2978058030e+10
2020-03-15 13:20:00,4.1202679815e+10,4.1202679815e+10,4.2203634324e+10,4.2203634324e+10
2020-03-15 13:25:00,3.7419138598e+10,3.7419138598e+10,3.8203672973e+10,3.8203672973e+10
2020-03-15 13:30:00,3.2831212926e+10,3.2831212926e+10,3.4836586842e+10,3.4836586842e+10
2020-03-15 13:35:00,2.9566474264e+10,2.9566474264e+10,3.6689614406e+10,3.6689614406e+10
2020-03-15 13:40:00,2.5889050753e+10,2.5889050753e+10,3.8584453457e+10,3.8584453457e+10
2020-03-15 13:45:00,3.3468219555e+10,3.3468219555e+10,4.0011620769e+10,4.0011620769e+10
2020-03-15 13:50:00,3.2536157685e+10,3.2536157685e+10,4.1079168945e+10,4.1079168945e+10
2020-03-15 13:55:00,3.5868645119e+10,3.5868645119e+10,4.3310623254e+10,4.3310623254e+10
2020-03-15 14:00:00,3.5726836949e+10,3.5726836949e+10,5.7924738092e+10,5.7924738092e+10
2020-03-15 14:05:00,3.1737981237e+10,3.1737981237e+10,5.3925342933e+10,5.3925342933e+10
2020-03-15 14:10:00,2.8985553371e+10,2.8985553371e+10,4.3125431303e+10,4.3125431303e+10
2020-03-15 14:15:00,3.6482721113e+10,3.6482721113e+10,4.7763108218e+10,4.7763108218e+10
2020-03-15 14:20:00,3.5743337402e+10,3.5743337402e+10,5.5096258529e+10,5.5096258529e+10
2020-03-15 14:25:00,3.7182094926e+10,3.7182094926e+10,4.1714963931e+10,4.1714963931e+10
2020-03-15 14:30:00,3.2336550439e+10,3.2336550439e+10,5.3214190672e+10,5.3214190672e+10
2020-03-15 14:35:00,3.9295170994e+10,3.9295170994e+10,4.4553742596e+10,4.4553742596e+10
2020-03-15 14:40:00,3.6167862377e+10,3.6167862377e+10,4.0656825264e+10,4.0656825264e+10
2020-03-15 14:45:00,3.1219622530e+10,3.1219622530e+10,3.7825811235e+10,3.7825811235e+10
