DATE,LNLV,LNLV_peak,LVLN,LNLV_peak
2020-03-26 11:40:00,5.7787143751e+05,5.7787143751e+05,5.9910654862e+05,5.9910654862e+05
2020-03-26 11:45:00,5.1229884373e+05,5.1229884373e+05,5.2925002631e+05,5.2925002631e+05
2020-03-26 11:50:00,4.3782326882e+06,4.3782326882e+06,9.2556361120e+05,9.2556361120e+05
2020-03-26 11:55:00,9.3593512246e+05,9.3593512246e+05,1.8626967621e+06,1.8626967621e+06
2020-03-26 12:00:00,5.4012709321e+05,5.4012709321e+05,5.6524535407e+05,5.6524535407e+05
2020-03-26 12:05:00,7.1659020193e+05,7.1659020193e+05,3.5973102939e+06,3.5973102939e+06
2020-03-26 12:10:00,5.4544412924e+05,5.4544412924e+05,5.8597774862e+05,5.8597774862e+05
2020-03-26 12:15:00,5.3274167538e+05,5.3274167538e+05,5.6061025422e+05,5.6061025422e+05
2020-03-26 12:20:00,5.4918631324e+05,5.4918631324e+05,8.9867750613e+05,8.9867750613e+05
2020-03-26 12:25:00,5.7162903828e+05,5.7162903828e+05,1.7495606574e+06,1.7495606574e+06
2020-03-26 12:30:00,1.0732283998e+06,1.0732283998e+06,5.5620303469e+05,5.5620303469e+05
2020-03-26 12:35:00,1.0524511949e+06,1.0524511949e+06,7.6745272077e+05,7.6745272077e+05
2020-03-26 12:40:00,5.3968495815e+05,5.3968495815e+05,6.0241884433e+05,6.0241884433e+05
2020-03-26 12:45:00,8.7444252628e+07,8.7444252628e+07,1.6142910148e+06,1.6142910148e+06
2020-03-26 12:50:00,1.1661763860e+06,1.1661763860e+06,8.1025030258e+05,8.1025030258e+05
2020-03-26 12:55:00,8.8345718254e+07,8.8345718254e+07,2.2010155095e+06,2.2010155095e+06
2020-03-26 13:00:00,2.3854196569e+06,2.3854196569e+06,1.1608331606e+07,1.1608331606e+07
2020-03-26 13:05:00,6.8029882043e+05,6.8029882043e+05,1.4196064166e+07,1.4196064166e+07
2020-03-26 13:10:00,7.2698158533e+05,7.2698158533e+05,1.1469520527e+07,1.1469520527e+07
2020-03-26 13:15:00,6.6128734482e+05,6.6128734482e+05,1.2450375553e+07,1.2450375553e+07
2020-03-26 13:20:00,7.3653116071e+05,7.3653116071e+05,2.0036215768e+07,2.0036215768e+07
2020-03-26 13:25:00,6.7333316212e+05,6.7333316212e+05,1.3278237285e+07,1.3278237285e+07
2020-03-26 13:30:00,5.7999329501e+05,5.7999329501e+05,8.6054344426e+05,8.6054344426e+05
2020-03-26 13:35:00,5.4252863514e+05,5.4252863514e+05,5.7752878974e+05,5.7752878974e+05
2020-03-26 13:40:00,6.1108909582e+05,6.1108909582e+05,5.5926444213e+05,5.5926444213e+05
2020-03-26 13:45:00,2.5233558904e+07,2.5233558904e+07,5.6961453333e+05,5.6961453333e+05
2020-03-26 13:50:00,2.1344564333e+07,2.1344564333e+07,1.0232364835e+06,1.0232364835e+06
