DATE,UKUI,UKUI_peak,UIUK,UIUK_peak
2020-03-15 13:30:00,3.2992964529e+10,3.2992964529e+10,5.3739224559e+10,5.3739224559e+10
2020-03-15 13:35:00,3.5186821132e+10,3.5186821132e+10,4.5003795164e+10,4.5003795164e+10
2020-03-15 13:40:00,6.0210281058e+10,6.0210281058e+10,3.7587268630e+10,3.7587268630e+10
2020-03-15 13:45:00,4.1603074205e+10,4.1603074205e+10,3.8476498899e+10,3.8476498899e+10
2020-03-15 13:50:00,3.5393551351e+10,3.5393551351e+10,3.0009224072e+10,3.0009224072e+10
2020-03-15 13:55:00,5.3401895189e+10,5.3401895189e+10,3.5300341928e+10,3.5300341928e+10
2020-03-15 14:00:00,5.0573150343e+10,5.0573150343e+10,4.2839558061e+10,4.2839558061e+10
2020-03-15 14:05:00,3.9894601976e+10,3.9894601976e+10,4.0681188086e+10,4.0681188086e+10
2020-03-15 14:10:00,4.9679127299e+10,4.9679127299e+10,3.5411113660e+10,3.5411113660e+10
2020-03-15 14:15:00,4.5973948281e+10,4.5973948281e+10,4.2305156067e+10,4.2305156067e+10
2020-03-15 14:20:00,4.2018849855e+10,4.2018849855e+10,2.9963172160e+10,2.9963172160e+10
2020-03-15 14:25:00,3.9951965698e+10,3.9951965698e+10,3.2481082562e+10,3.2481082562e+10
2020-03-15 14:30:00,5.1224031573e+10,5.1224031573e+10,4.7488328083e+10,4.7488328083e+10
2020-03-15 14:35:00,6.2500741332e+10,6.2500741332e+10,4.9579067962e+10,4.9579067962e+10
2020-03-15 14:40:00,4.0848957053e+10,4.0848957053e+10,4.2251563894e+10,4.2251563894e+10
2020-03-15 14:45:00,5.6161486963e+10,5.6161486963e+10,4.7986607440e+10,4.7986607440e+10
2020-03-15 14:50:00,3.7007759288e+10,3.7007759288e+10,3.4107027327e+10,3.4107027327e+10
2020-03-15 14:55:00,3.5665587176e+10,3.5665587176e+10,3.2841909748e+10,3.2841909748e+10
2020-03-15 15:00:00,4.9841234944e+10,4.9841234944e+10,3.3784535129e+10,3.3784535129e+10
