DATE,IRIE,IRIE_peak,IEIR,IEIR_peak
2020-03-22 16:30:00,7.0798213321e+07,7.0798213321e+07,1.2973759529e+07,1.2973759529e+07
2020-03-22 16:35:00,7.2954822716e+07,7.2954822716e+07,3.3014840869e+07,3.3014840869e+07
2020-03-22 16:40:00,8.4178400945e+07,8.4178400945e+07,2.5137976606e+07,2.5137976606e+07
2020-03-22 16:45:00,8.2751818217e+07,8.2751818217e+07,2.9166220230e+07,2.9166220230e+07
2020-03-22 16:50:00,8.2359334257e+07,8.2359334257e+07,3.0774432408e+07,3.0774432408e+07
2020-03-22 16:55:00,7.2243657609e+07,7.2243657609e+07,1.8058140521e+07,1.8058140521e+07
2020-03-22 17:00:00,8.0146632745e+07,8.0146632745e+07,2.0063522842e+07,2.0063522842e+07
2020-03-22 17:05:00,9.3340304890e+07,9.3340304890e+07,3.9836394374e+07,3.9836394374e+07
2020-03-22 17:10:00,8.3158825414e+07,8.3158825414e+07,7.5094222103e+07,7.5094222103e+07
2020-03-22 17:15:00,8.6507396218e+07,8.6507396218e+07,4.1125673117e+07,4.1125673117e+07
2020-03-22 17:20:00,7.9369724929e+07,7.9369724929e+07,6.2422590097e+07,6.2422590097e+07
2020-03-22 17:25:00,8.6083211499e+07,8.6083211499e+07,4.6892356099e+07,4.6892356099e+07
2020-03-22 17:30:00,7.9273325051e+07,7.9273325051e+07,3.2141195970e+07,3.2141195970e+07
2020-03-22 17:35:00,7.1342601334e+07,7.1342601334e+07,3.6332167381e+07,3.6332167381e+07
2020-03-22 17:40:00,6.5975595976e+07,6.5975595976e+07,6.5428392128e+07,6.5428392128e+07
2020-03-22 17:45:00,7.9765541557e+07,7.9765541557e+07,5.9732496057e+07,5.9732496057e+07
2020-03-22 17:50:00,9.1004394128e+07,9.1004394128e+07,4.3580793715e+07,4.3580793715e+07
2020-03-22 17:55:00,1.0612839113e+08,1.0612839113e+08,2.7668013044e+07,2.7668013044e+07
2020-03-22 18:00:00,1.1057406420e+08,1.1057406420e+08,3.0457731831e+07,3.0457731831e+07
2020-03-22 18:05:00,9.2005715123e+07,9.2005715123e+07,3.1958826348e+07,3.1958826348e+07
2020-03-22 18:10:00,1.1285606733e+08,1.1285606733e+08,2.5243581731e+07,2.5243581731e+07
2020-03-22 18:15:00,1.1598840371e+08,1.1598840371e+08,3.1147259471e+07,3.1147259471e+07
2020-03-22 18:20:00,1.0324263470e+08,1.0324263470e+08,2.6280511094e+07,2.6280511094e+07
2020-03-22 18:25:00,9.6722614577e+07,9.6722614577e+07,5.3427797894e+07,5.3427797894e+07
2020-03-22 18:30:00,7.9400248783e+07,7.9400248783e+07,2.6399536291e+07,2.6399536291e+07
