DATE,LVET,LVET_peak,ETLV,ETLV_peak
2020-03-27 17:25:00,3.2562853835e+09,3.2562853835e+09,1.2487777381e+08,1.2487777381e+08
2020-03-27 17:30:00,3.2130486315e+09,3.2130486315e+09,1.3038771490e+08,1.3038771490e+08
2020-03-27 17:35:00,3.2284498455e+09,3.2284498455e+09,1.3434933323e+08,1.3434933323e+08
2020-03-27 17:40:00,3.1770988326e+09,3.1770988326e+09,2.1713675330e+08,2.1713675330e+08
2020-03-27 17:45:00,3.1616934943e+09,3.1616934943e+09,1.5055604591e+08,1.5055604591e+08
2020-03-27 17:50:00,3.1739797522e+09,3.1739797522e+09,1.4679568874e+08,1.4679568874e+08
2020-03-27 17:55:00,3.1168411172e+09,3.1168411172e+09,1.4499755577e+08,1.4499755577e+08
2020-03-27 18:00:00,3.2771497331e+09,3.2771497331e+09,1.3695974954e+08,1.3695974954e+08
2020-03-27 18:05:00,3.1344416147e+09,3.1344416147e+09,1.0529342485e+08,1.0529342485e+08
2020-03-27 18:10:00,3.3720829450e+09,3.3720829450e+09,9.3403019547e+07,9.3403019547e+07
2020-03-27 18:15:00,3.2746603502e+09,3.2746603502e+09,9.8442999678e+07,9.8442999678e+07
2020-03-27 18:20:00,3.2505880072e+09,3.2505880072e+09,1.0899262039e+08,1.0899262039e+08
2020-03-27 18:25:00,3.2078785624e+09,3.2078785624e+09,1.0602712715e+08,1.0602712715e+08
2020-03-27 18:30:00,3.2221996407e+09,3.2221996407e+09,1.0017928888e+08,1.0017928888e+08
2020-03-27 18:35:00,3.1477696710e+09,3.1477696710e+09,1.8040053420e+08,1.8040053420e+08
2020-03-27 18:40:00,3.0836296649e+09,3.0836296649e+09,8.2145677020e+07,8.2145677020e+07
2020-03-27 18:45:00,3.1894501854e+09,3.1894501854e+09,7.5357231651e+07,7.5357231651e+07
2020-03-27 18:50:00,3.1705469387e+09,3.1705469387e+09,7.5012983806e+07,7.5012983806e+07
