DATE,NLDE,NLDE_peak,DENL,DENL_peak
2020-03-30 13:35:00,3.2228661644e+10,3.2228661644e+10,5.9295894106e+10,5.9295894106e+10
2020-03-30 13:40:00,3.3744877558e+10,3.3744877558e+10,6.8770659147e+10,6.8770659147e+10
2020-03-30 13:45:00,3.7981629134e+10,3.7981629134e+10,6.5330854309e+10,6.5330854309e+10
2020-03-30 13:50:00,4.0056734432e+10,4.0056734432e+10,6.1716567375e+10,6.1716567375e+10
2020-03-30 13:55:00,4.6319025421e+10,4.6319025421e+10,5.6815117795e+10,5.6815117795e+10
2020-03-30 14:00:00,4.4735166975e+10,4.4735166975e+10,5.0534204445e+10,5.0534204445e+10
2020-03-30 14:05:00,3.9737420125e+10,3.9737420125e+10,4.5265429945e+10,4.5265429945e+10
2020-03-30 14:10:00,4.7801893166e+10,4.7801893166e+10,5.2279741275e+10,5.2279741275e+10
2020-03-30 14:15:00,4.8425054689e+10,4.8425054689e+10,5.6552317940e+10,5.6552317940e+10
2020-03-30 14:20:00,4.5159300256e+10,4.5159300256e+10,6.1286691632e+10,6.1286691632e+10
2020-03-30 14:25:00,4.3633553265e+10,4.3633553265e+10,5.2802839806e+10,5.2802839806e+10
2020-03-30 14:30:00,4.5004278630e+10,4.5004278630e+10,4.5540582534e+10,4.5540582534e+10
2020-03-30 14:35:00,4.3896232903e+10,4.3896232903e+10,4.2418776164e+10,4.2418776164e+10
2020-03-30 14:40:00,4.4098771802e+10,4.4098771802e+10,4.3558033838e+10,4.3558033838e+10
2020-03-30 14:45:00,4.5500634131e+10,4.5500634131e+10,4.0039875811e+10,4.0039875811e+10
2020-03-30 14:50:00,4.5855997247e+10,4.5855997247e+10,4.2115566540e+10,4.2115566540e+10
2020-03-30 14:55:00,5.0681324746e+10,5.0681324746e+10,4.2096166815e+10,4.2096166815e+10
2020-03-30 15:00:00,5.4977537997e+10,5.4977537997e+10,5.4238435138e+10,5.4238435138e+10
2020-03-30 15:05:00,4.0975496596e+10,4.0975496596e+10,5.2517035152e+10,5.2517035152e+10
2020-03-30 15:10:00,4.3379304913e+10,4.3379304913e+10,5.7253879861e+10,5.7253879861e+10
2020-03-30 15:15:00,5.3496423741e+10,5.3496423741e+10,6.5718190608e+10,6.5718190608e+10
2020-03-30 15:20:00,4.7757814327e+10,4.7757814327e+10,6.8364930973e+10,6.8364930973e+10
2020-03-30 15:25:00,3.6231530199e+10,3.6231530199e+10,5.9584942434e+10,5.9584942434e+10
2020-03-30 15:30:00,3.4035850729e+10,3.4035850729e+10,5.3410030801e+10,5.3410030801e+10
2020-03-30 15:35:00,3.5663518162e+10,3.5663518162e+10,5.0866214336e+10,5.0866214336e+10
2020-03-30 15:40:00,3.9519529520e+10,3.9519529520e+10,5.1635098887e+10,5.1635098887e+10
2020-03-30 15:45:00,3.8550568709e+10,3.8550568709e+10,5.7041929324e+10,5.7041929324e+10
2020-03-30 15:50:00,3.0882898878e+10,3.0882898878e+10,5.9588435014e+10,5.9588435014e+10
2020-03-30 15:55:00,3.3549964526e+10,3.3549964526e+10,4.7452688564e+10,4.7452688564e+10
2020-03-30 16:00:00,3.8050138387e+10,3.8050138387e+10,4.8687491597e+10,4.8687491597e+10
2020-03-30 16:05:00,4.4219267513e+10,4.4219267513e+10,6.5495979366e+10,6.5495979366e+10
2020-03-30 16:10:00,4.3178196069e+10,4.3178196069e+10,5.3831068222e+10,5.3831068222e+10
2020-03-30 16:15:00,3.6798601723e+10,3.6798601723e+10,5.4161097058e+10,5.4161097058e+10
2020-03-30 16:20:00,3.3283486842e+10,3.3283486842e+10,5.4947171338e+10,5.4947171338e+10
2020-03-30 16:25:00,4.2264296690e+10,4.2264296690e+10,5.2744026838e+10,5.2744026838e+10
2020-03-30 16:30:00,4.1527618529e+10,4.1527618529e+10,5.2273762120e+10,5.2273762120e+10
2020-03-30 16:35:00,4.1781549171e+10,4.1781549171e+10,4.2717106386e+10,4.2717106386e+10
