DATE,ITAT,ITAT_peak,ATIT,ATIT_peak
2020-03-15 10:05:00,2.2018883188e+09,2.2018883188e+09,1.1595000008e+10,1.1595000008e+10
2020-03-15 10:10:00,2.0968759521e+09,2.0968759521e+09,1.0274755742e+10,1.0274755742e+10
2020-03-15 10:15:00,3.6743160457e+09,3.6743160457e+09,1.1466979531e+10,1.1466979531e+10
2020-03-15 10:20:00,3.1867162812e+09,3.1867162812e+09,1.2318884633e+10,1.2318884633e+10
2020-03-15 10:25:00,2.7993363922e+09,2.7993363922e+09,1.0677362609e+10,1.0677362609e+10
2020-03-15 10:30:00,2.5893884710e+09,2.5893884710e+09,1.1430293667e+10,1.1430293667e+10
2020-03-15 10:35:00,2.4916697486e+09,2.4916697486e+09,1.3219142590e+10,1.3219142590e+10
2020-03-15 10:40:00,2.5001375033e+09,2.5001375033e+09,1.0869764841e+10,1.0869764841e+10
2020-03-15 10:45:00,2.4428653348e+09,2.4428653348e+09,1.1165020378e+10,1.1165020378e+10
2020-03-15 10:50:00,2.3841581667e+09,2.3841581667e+09,9.7714321585e+09,9.7714321585e+09
2020-03-15 10:55:00,2.1212692394e+09,2.1212692394e+09,1.1456438456e+10,1.1456438456e+10
2020-03-15 11:00:00,2.2123559619e+09,2.2123559619e+09,1.1975412151e+10,1.1975412151e+10
2020-03-15 11:05:00,2.0867801129e+09,2.0867801129e+09,1.0282774974e+10,1.0282774974e+10
2020-03-15 11:10:00,2.2627717322e+09,2.2627717322e+09,1.1540443449e+10,1.1540443449e+10
2020-03-15 11:15:00,2.6106194009e+09,2.6106194009e+09,1.0700091575e+10,1.0700091575e+10
2020-03-15 11:20:00,2.7702209049e+09,2.7702209049e+09,1.0224370241e+10,1.0224370241e+10
2020-03-15 11:25:00,3.0569106424e+09,3.0569106424e+09,1.0097373759e+10,1.0097373759e+10
2020-03-15 11:30:00,2.7012388064e+09,2.7012388064e+09,1.0128434319e+10,1.0128434319e+10
2020-03-15 11:35:00,2.8592020242e+09,2.8592020242e+09,9.6193121553e+09,9.6193121553e+09
2020-03-15 11:40:00,2.8228277744e+09,2.8228277744e+09,9.3035903532e+09,9.3035903532e+09
2020-03-15 11:45:00,2.7294579754e+09,2.7294579754e+09,9.1753792167e+09,9.1753792167e+09
2020-03-15 11:50:00,3.2704601103e+09,3.2704601103e+09,9.6633839313e+09,9.6633839313e+09
2020-03-15 11:55:00,2.8202429432e+09,2.8202429432e+09,9.4972371209e+09,9.4972371209e+09
2020-03-15 12:00:00,2.9174140518e+09,2.9174140518e+09,1.0084688660e+10,1.0084688660e+10
2020-03-15 12:05:00,3.6826654863e+09,3.6826654863e+09,1.0423046563e+10,1.0423046563e+10
2020-03-15 12:10:00,3.7279632973e+09,3.7279632973e+09,1.4394336221e+10,1.4394336221e+10
2020-03-15 12:15:00,3.6094794023e+09,3.6094794023e+09,1.3852782875e+10,1.3852782875e+10
2020-03-15 12:20:00,4.1100573334e+09,4.1100573334e+09,1.6693626657e+10,1.6693626657e+10
2020-03-15 12:25:00,3.6757894520e+09,3.6757894520e+09,1.6884101467e+10,1.6884101467e+10
2020-03-15 12:30:00,3.2612550155e+09,3.2612550155e+09,1.6702358856e+10,1.6702358856e+10
2020-03-15 12:35:00,3.2335788263e+09,3.2335788263e+09,1.4605648937e+10,1.4605648937e+10
2020-03-15 12:40:00,4.3944460842e+09,4.3944460842e+09,1.5606226407e+10,1.5606226407e+10
2020-03-15 12:45:00,3.1433078101e+09,3.1433078101e+09,1.7112496220e+10,1.7112496220e+10
2020-03-15 12:50:00,3.1183972013e+09,3.1183972013e+09,1.4926629468e+10,1.4926629468e+10
2020-03-15 12:55:00,3.5463770766e+09,3.5463770766e+09,1.3630999167e+10,1.3630999167e+10
2020-03-15 13:00:00,3.1209105221e+09,3.1209105221e+09,1.3957090815e+10,1.3957090815e+10
