DATE,NLBE,NLBE_peak,BENL,BENL_peak
2020-03-17 05:50:00,5.1719953369e+05,5.1719953369e+05,6.4297491093e+05,6.4297491093e+05
2020-03-17 05:55:00,5.1386975491e+05,5.1386975491e+05,5.6031957548e+05,5.6031957548e+05
2020-03-17 06:00:00,5.2000112109e+05,5.2000112109e+05,5.6550057812e+05,5.6550057812e+05
2020-03-17 06:05:00,5.4544438772e+05,5.4544438772e+05,6.5657455951e+05,6.5657455951e+05
2020-03-17 06:10:00,5.2537415353e+05,5.2537415353e+05,5.7717274822e+05,5.7717274822e+05
2020-03-17 06:15:00,5.1582986009e+05,5.1582986009e+05,6.2832473351e+05,6.2832473351e+05
2020-03-17 06:20:00,4.8648216729e+05,4.8648216729e+05,6.7861097013e+05,6.7861097013e+05
2020-03-17 06:25:00,5.2418004836e+05,5.2418004836e+05,6.5844187911e+05,6.5844187911e+05
2020-03-17 06:30:00,5.2572386397e+05,5.2572386397e+05,6.1110666277e+05,6.1110666277e+05
2020-03-17 06:35:00,5.2656627158e+05,5.2656627158e+05,5.7880228060e+05,5.7880228060e+05
2020-03-17 06:40:00,5.3381243813e+05,5.3381243813e+05,6.6985355973e+05,6.6985355973e+05
2020-03-17 06:45:00,5.1149961387e+05,5.1149961387e+05,5.5612714133e+05,5.5612714133e+05
2020-03-17 06:50:00,5.1979419893e+05,5.1979419893e+05,6.4556254107e+05,6.4556254107e+05
2020-03-17 06:55:00,5.2159858969e+05,5.2159858969e+05,5.6505403245e+05,5.6505403245e+05
2020-03-17 07:00:00,5.1978142848e+05,5.1978142848e+05,5.6914924135e+05,5.6914924135e+05
2020-03-17 07:05:00,5.4909513544e+05,5.4909513544e+05,5.8587118406e+05,5.8587118406e+05
2020-03-17 07:10:00,5.3308593734e+05,5.3308593734e+05,5.7990527733e+05,5.7990527733e+05
2020-03-17 07:15:00,5.2239681870e+05,5.2239681870e+05,6.5829313872e+05,6.5829313872e+05
2020-03-17 07:20:00,5.1169333750e+05,5.1169333750e+05,5.6258635523e+05,5.6258635523e+05
2020-03-17 07:25:00,5.2952980427e+05,5.2952980427e+05,6.5429451112e+05,6.5429451112e+05
2020-03-17 07:30:00,5.2119581348e+05,5.2119581348e+05,5.6902549625e+05,5.6902549625e+05
2020-03-17 07:35:00,5.2363303997e+05,5.2363303997e+05,5.7101653526e+05,5.7101653526e+05
2020-03-17 07:40:00,5.2969612581e+05,5.2969612581e+05,5.7835408421e+05,5.7835408421e+05
2020-03-17 07:45:00,5.2223266096e+05,5.2223266096e+05,5.6948130073e+05,5.6948130073e+05
2020-03-17 07:50:00,5.1073346306e+05,5.1073346306e+05,5.5812990294e+05,5.5812990294e+05
2020-03-17 07:55:00,5.2291511197e+05,5.2291511197e+05,7.3287245366e+05,7.3287245366e+05
2020-03-17 08:00:00,5.1207554133e+05,5.1207554133e+05,5.6093994213e+05,5.6093994213e+05
2020-03-17 08:05:00,5.4243538686e+05,5.4243538686e+05,5.8998182149e+05,5.8998182149e+05
2020-03-17 08:10:00,5.3096381356e+05,5.3096381356e+05,6.6421428859e+05,6.6421428859e+05
2020-03-17 08:15:00,5.2772350517e+05,5.2772350517e+05,6.5289698085e+05,6.5289698085e+05
