DATE,PTUK,PTUK_peak,UKPT,PTUK_peak
2020-03-24 05:45:00,2.3528215499e+09,2.3528215499e+09,2.2285483154e+08,2.2285483154e+08
2020-03-24 05:50:00,2.7787331797e+09,2.7787331797e+09,2.6143299446e+08,2.6143299446e+08
2020-03-24 05:55:00,1.8216937516e+09,1.8216937516e+09,1.7142823424e+08,1.7142823424e+08
2020-03-24 06:00:00,7.6201107389e+08,7.6201107389e+08,1.3616730716e+08,1.3616730716e+08
2020-03-24 06:05:00,4.8438790781e+08,4.8438790781e+08,1.6074727412e+08,1.6074727412e+08
2020-03-24 06:10:00,2.8673924306e+08,2.8673924306e+08,1.4066819944e+08,1.4066819944e+08
2020-03-24 06:15:00,1.0028440719e+09,1.0028440719e+09,1.3997677556e+08,1.3997677556e+08
2020-03-24 06:20:00,1.4653528073e+09,1.4653528073e+09,1.3935814759e+08,1.3935814759e+08
2020-03-24 06:25:00,1.6244374296e+09,1.6244374296e+09,1.2617582795e+08,1.2617582795e+08
2020-03-24 06:30:00,3.6605277538e+08,3.6605277538e+08,1.3498962962e+08,1.3498962962e+08
2020-03-24 06:35:00,3.7987390004e+08,3.7987390004e+08,1.5110238242e+08,1.5110238242e+08
2020-03-24 06:40:00,4.3249352908e+08,4.3249352908e+08,1.8213859586e+08,1.8213859586e+08
2020-03-24 06:45:00,9.2671829775e+08,9.2671829775e+08,1.4832785962e+08,1.4832785962e+08
2020-03-24 06:50:00,1.5979821682e+09,1.5979821682e+09,1.5444508421e+08,1.5444508421e+08
2020-03-24 06:55:00,9.7384871611e+08,9.7384871611e+08,1.4608202536e+08,1.4608202536e+08
2020-03-24 07:00:00,4.1046673418e+08,4.1046673418e+08,1.9303920300e+08,1.9303920300e+08
2020-03-24 07:05:00,5.8592762519e+08,5.8592762519e+08,2.3542958678e+08,2.3542958678e+08
2020-03-24 07:10:00,4.2005353870e+08,4.2005353870e+08,2.5378624787e+08,2.5378624787e+08
2020-03-24 07:15:00,3.0345638370e+08,3.0345638370e+08,1.4095216322e+08,1.4095216322e+08
2020-03-24 07:20:00,4.7828715727e+08,4.7828715727e+08,1.3688935112e+08,1.3688935112e+08
2020-03-24 07:25:00,3.1637430517e+09,3.1637430517e+09,1.5167898585e+08,1.5167898585e+08
