DATE,SIIT,SIIT_peak,ITSI,ITSI_peak
2020-03-26 11:05:00,1.3220538834e+10,1.3220538834e+10,7.7140528425e+09,7.7140528425e+09
2020-03-26 11:10:00,1.3342974815e+10,1.3342974815e+10,7.5963917522e+09,7.5963917522e+09
2020-03-26 11:15:00,1.3990744945e+10,1.3990744945e+10,6.9132853228e+09,6.9132853228e+09
2020-03-26 11:20:00,1.1752829561e+10,1.1752829561e+10,8.8983784117e+09,8.8983784117e+09
2020-03-26 11:25:00,1.3851144871e+10,1.3851144871e+10,1.0362759202e+10,1.0362759202e+10
2020-03-26 11:30:00,1.1714534446e+10,1.1714534446e+10,1.1564270952e+10,1.1564270952e+10
2020-03-26 11:35:00,1.0743986506e+10,1.0743986506e+10,1.3174943983e+10,1.3174943983e+10
2020-03-26 11:40:00,1.0223667877e+10,1.0223667877e+10,1.8803011558e+10,1.8803011558e+10
2020-03-26 11:45:00,9.7647624836e+09,9.7647624836e+09,1.8614313413e+10,1.8614313413e+10
2020-03-26 11:50:00,9.8597681502e+09,9.8597681502e+09,1.7276755388e+10,1.7276755388e+10
2020-03-26 11:55:00,1.0329798846e+10,1.0329798846e+10,1.6599498984e+10,1.6599498984e+10
2020-03-26 12:00:00,9.7905080725e+09,9.7905080725e+09,1.6398296472e+10,1.6398296472e+10
2020-03-26 12:05:00,8.1488305760e+09,8.1488305760e+09,1.4566076870e+10,1.4566076870e+10
2020-03-26 12:10:00,9.2979276173e+09,9.2979276173e+09,1.2740515172e+10,1.2740515172e+10
2020-03-26 12:15:00,7.5263464572e+09,7.5263464572e+09,1.2051261903e+10,1.2051261903e+10
2020-03-26 12:20:00,6.8290814736e+09,6.8290814736e+09,1.1846626891e+10,1.1846626891e+10
2020-03-26 12:25:00,6.8099865380e+09,6.8099865380e+09,1.2304456985e+10,1.2304456985e+10
2020-03-26 12:30:00,7.0527444161e+09,7.0527444161e+09,1.2026046973e+10,1.2026046973e+10
2020-03-26 12:35:00,7.8765739388e+09,7.8765739388e+09,1.2061356847e+10,1.2061356847e+10
2020-03-26 12:40:00,7.0466227244e+09,7.0466227244e+09,1.4540875227e+10,1.4540875227e+10
2020-03-26 12:45:00,9.4703394233e+09,9.4703394233e+09,1.2466852136e+10,1.2466852136e+10
2020-03-26 12:50:00,8.4141681756e+09,8.4141681756e+09,1.2127607920e+10,1.2127607920e+10
2020-03-26 12:55:00,6.0293778929e+09,6.0293778929e+09,1.2289278885e+10,1.2289278885e+10
2020-03-26 13:00:00,6.6865344701e+09,6.6865344701e+09,1.0308242476e+10,1.0308242476e+10
2020-03-26 13:05:00,6.0822554764e+09,6.0822554764e+09,1.0346621584e+10,1.0346621584e+10
2020-03-26 13:10:00,6.7788624055e+09,6.7788624055e+09,1.0409505633e+10,1.0409505633e+10
2020-03-26 13:15:00,5.5266470467e+09,5.5266470467e+09,9.9248004785e+09,9.9248004785e+09
2020-03-26 13:20:00,7.3915144770e+09,7.3915144770e+09,9.3187592310e+09,9.3187592310e+09
2020-03-26 13:25:00,8.3845208428e+09,8.3845208428e+09,9.9810962059e+09,9.9810962059e+09
2020-03-26 13:30:00,1.2468054209e+10,1.2468054209e+10,9.2997034958e+09,9.2997034958e+09
2020-03-26 13:35:00,8.3857446818e+09,8.3857446818e+09,6.8812780249e+09,6.8812780249e+09
2020-03-26 13:40:00,7.6375740623e+09,7.6375740623e+09,5.1402213469e+09,5.1402213469e+09
2020-03-26 13:45:00,8.4944594265e+09,8.4944594265e+09,5.8377644834e+09,5.8377644834e+09
2020-03-26 13:50:00,6.0415494333e+09,6.0415494333e+09,1.2217555195e+10,1.2217555195e+10
2020-03-26 13:55:00,5.5724094028e+09,5.5724094028e+09,1.7249555317e+10,1.7249555317e+10
2020-03-26 14:00:00,7.2286017672e+09,7.2286017672e+09,1.6608148660e+10,1.6608148660e+10
2020-03-26 14:05:00,8.1857513941e+09,8.1857513941e+09,1.4935211508e+10,1.4935211508e+10
2020-03-26 14:10:00,6.9739305887e+09,6.9739305887e+09,1.3948180312e+10,1.3948180312e+10
2020-03-26 14:15:00,7.2017361763e+09,7.2017361763e+09,1.0617696487e+10,1.0617696487e+10
2020-03-26 14:20:00,7.2969648909e+09,7.2969648909e+09,1.0065445911e+10,1.0065445911e+10
2020-03-26 14:25:00,8.2377468404e+09,8.2377468404e+09,1.1305194639e+10,1.1305194639e+10
2020-03-26 14:30:00,9.7618216343e+09,9.7618216343e+09,8.7818827122e+09,8.7818827122e+09
2020-03-26 14:35:00,5.8196117922e+09,5.8196117922e+09,8.9108258009e+09,8.9108258009e+09
2020-03-26 14:40:00,4.9621462530e+09,4.9621462530e+09,1.0317125652e+10,1.0317125652e+10
2020-03-26 14:45:00,6.5737617051e+09,6.5737617051e+09,7.6144498895e+09,7.6144498895e+09
2020-03-26 14:50:00,5.3331465424e+09,5.3331465424e+09,7.5745806491e+09,7.5745806491e+09
2020-03-26 14:55:00,8.7448012285e+09,8.7448012285e+09,1.3218968890e+10,1.3218968890e+10
2020-03-26 15:00:00,9.6015068141e+09,9.6015068141e+09,1.5713868692e+10,1.5713868692e+10
2020-03-26 15:05:00,8.4161072024e+09,8.4161072024e+09,9.4613969455e+09,9.4613969455e+09
2020-03-26 15:10:00,9.7852641596e+09,9.7852641596e+09,9.8612921337e+09,9.8612921337e+09
2020-03-26 15:15:00,7.4824528350e+09,7.4824528350e+09,9.8390657826e+09,9.8390657826e+09
2020-03-26 15:20:00,6.7216369256e+09,6.7216369256e+09,1.0447019047e+10,1.0447019047e+10
2020-03-26 15:25:00,9.2657663665e+09,9.2657663665e+09,9.5310651605e+09,9.5310651605e+09
2020-03-26 15:30:00,1.1158446991e+10,1.1158446991e+10,7.4901189360e+09,7.4901189360e+09
2020-03-26 15:35:00,8.9345779784e+09,8.9345779784e+09,5.3770506169e+09,5.3770506169e+09
2020-03-26 15:40:00,7.3934336937e+09,7.3934336937e+09,3.5862755420e+09,3.5862755420e+09
2020-03-26 15:45:00,8.7323402765e+09,8.7323402765e+09,4.0407156812e+09,4.0407156812e+09
2020-03-26 15:50:00,1.3951382532e+10,1.3951382532e+10,3.3794489538e+09,3.3794489538e+09
2020-03-26 15:55:00,6.8724951065e+09,6.8724951065e+09,3.8955744959e+09,3.8955744959e+09
2020-03-26 16:00:00,6.4090461525e+09,6.4090461525e+09,3.5554124414e+09,3.5554124414e+09
