DATE,BGAT,BGAT_peak,ATBG,ATBG_peak
2020-03-22 17:40:00,1.0927625605e+10,1.0927625605e+10,2.0150036269e+09,2.0150036269e+09
2020-03-22 17:45:00,9.3164884076e+09,9.3164884076e+09,1.6890368570e+09,1.6890368570e+09
2020-03-22 17:50:00,1.0229289460e+10,1.0229289460e+10,1.8777916640e+09,1.8777916640e+09
2020-03-22 17:55:00,9.9966974070e+09,9.9966974070e+09,1.8331819762e+09,1.8331819762e+09
2020-03-22 18:00:00,1.0916478213e+10,1.0916478213e+10,3.4071221783e+09,3.4071221783e+09
2020-03-22 18:05:00,1.0702737531e+10,1.0702737531e+10,2.2464128951e+09,2.2464128951e+09
2020-03-22 18:10:00,1.0154490744e+10,1.0154490744e+10,1.9473522353e+09,1.9473522353e+09
2020-03-22 18:15:00,1.0028545114e+10,1.0028545114e+10,1.3121166182e+09,1.3121166182e+09
2020-03-22 18:20:00,8.5603727210e+09,8.5603727210e+09,2.3340364114e+09,2.3340364114e+09
2020-03-22 18:25:00,8.4706176761e+09,8.4706176761e+09,2.2463865258e+09,2.2463865258e+09
2020-03-22 18:30:00,9.2380947806e+09,9.2380947806e+09,2.3399965248e+09,2.3399965248e+09
2020-03-22 18:35:00,9.1174107677e+09,9.1174107677e+09,1.8826820763e+09,1.8826820763e+09
2020-03-22 18:40:00,1.0691995388e+10,1.0691995388e+10,2.2638662262e+09,2.2638662262e+09
2020-03-22 18:45:00,1.5401055878e+10,1.5401055878e+10,1.9540366704e+09,1.9540366704e+09
2020-03-22 18:50:00,1.4459973105e+10,1.4459973105e+10,1.1712595384e+09,1.1712595384e+09
2020-03-22 18:55:00,1.3917504176e+10,1.3917504176e+10,1.3309590739e+09,1.3309590739e+09
2020-03-22 19:00:00,1.1795924717e+10,1.1795924717e+10,2.1290418861e+09,2.1290418861e+09
2020-03-22 19:05:00,1.4135410951e+10,1.4135410951e+10,1.5489885987e+09,1.5489885987e+09
2020-03-22 19:10:00,1.3390569801e+10,1.3390569801e+10,1.8364321948e+09,1.8364321948e+09
2020-03-22 19:15:00,1.2874151662e+10,1.2874151662e+10,1.6050665814e+09,1.6050665814e+09
2020-03-22 19:20:00,1.2222596664e+10,1.2222596664e+10,1.7660555276e+09,1.7660555276e+09
2020-03-22 19:25:00,1.2223125268e+10,1.2223125268e+10,1.9851279762e+09,1.9851279762e+09
2020-03-22 19:30:00,9.4229169051e+09,9.4229169051e+09,1.7992083057e+09,1.7992083057e+09
2020-03-22 19:35:00,5.4656284461e+09,5.4656284461e+09,1.9774155313e+09,1.9774155313e+09
2020-03-22 19:40:00,6.3690527006e+09,6.3690527006e+09,1.9701122976e+09,1.9701122976e+09
2020-03-22 19:45:00,7.4181812905e+09,7.4181812905e+09,2.1739690274e+09,2.1739690274e+09
