DATE,LTPL,LTPL_peak,PLLT,LTPL_peak
2020-03-22 14:35:00,9.3969678071e+08,9.3969678071e+08,3.3262593606e+08,3.3262593606e+08
2020-03-22 14:40:00,9.3606215627e+08,9.3606215627e+08,2.9870902425e+08,2.9870902425e+08
2020-03-22 14:45:00,8.8911529344e+08,8.8911529344e+08,3.4122175591e+08,3.4122175591e+08
2020-03-22 14:50:00,9.2375970053e+08,9.2375970053e+08,3.9442747016e+08,3.9442747016e+08
2020-03-22 14:55:00,1.0318146330e+09,1.0318146330e+09,3.4237920204e+08,3.4237920204e+08
2020-03-22 15:00:00,8.9630728085e+08,8.9630728085e+08,3.2889820020e+08,3.2889820020e+08
2020-03-22 15:05:00,8.9783411788e+08,8.9783411788e+08,3.6311067724e+08,3.6311067724e+08
2020-03-22 15:10:00,1.0581180596e+09,1.0581180596e+09,4.0114999946e+08,4.0114999946e+08
2020-03-22 15:15:00,9.6684339445e+08,9.6684339445e+08,3.4485585723e+08,3.4485585723e+08
2020-03-22 15:20:00,9.4050369187e+08,9.4050369187e+08,3.3570929579e+08,3.3570929579e+08
2020-03-22 15:25:00,8.8160948426e+08,8.8160948426e+08,3.3297552061e+08,3.3297552061e+08
2020-03-22 15:30:00,8.6257208702e+08,8.6257208702e+08,3.4498533544e+08,3.4498533544e+08
2020-03-22 15:35:00,8.8912157295e+08,8.8912157295e+08,4.0056563491e+08,4.0056563491e+08
2020-03-22 15:40:00,9.5792197490e+08,9.5792197490e+08,3.4573374121e+08,3.4573374121e+08
2020-03-22 15:45:00,8.5420546857e+08,8.5420546857e+08,3.1776364716e+08,3.1776364716e+08
2020-03-22 15:50:00,7.4786512353e+08,7.4786512353e+08,2.7499819837e+08,2.7499819837e+08
2020-03-22 15:55:00,7.7606391723e+08,7.7606391723e+08,2.9521723361e+08,2.9521723361e+08
2020-03-22 16:00:00,7.3163498410e+08,7.3163498410e+08,2.9663528351e+08,2.9663528351e+08
2020-03-22 16:05:00,7.9937948272e+08,7.9937948272e+08,3.6153263282e+08,3.6153263282e+08
2020-03-22 16:10:00,8.2151668070e+08,8.2151668070e+08,3.8752586066e+08,3.8752586066e+08
2020-03-22 16:15:00,8.6060886112e+08,8.6060886112e+08,3.4640436957e+08,3.4640436957e+08
2020-03-22 16:20:00,8.5478621616e+08,8.5478621616e+08,3.7388527789e+08,3.7388527789e+08
2020-03-22 16:25:00,1.0762899890e+09,1.0762899890e+09,5.9107910237e+08,5.9107910237e+08
2020-03-22 16:30:00,8.9448561196e+08,8.9448561196e+08,4.6182885008e+08,4.6182885008e+08
2020-03-22 16:35:00,9.0965375617e+08,9.0965375617e+08,3.6595475992e+08,3.6595475992e+08
2020-03-22 16:40:00,1.0015631240e+09,1.0015631240e+09,2.7653069594e+08,2.7653069594e+08
2020-03-22 16:45:00,1.0120402129e+09,1.0120402129e+09,2.1863105347e+08,2.1863105347e+08
2020-03-22 16:50:00,9.4617665639e+08,9.4617665639e+08,2.2990229892e+08,2.2990229892e+08
2020-03-22 16:55:00,9.8426142674e+08,9.8426142674e+08,2.8241931270e+08,2.8241931270e+08
2020-03-22 17:00:00,9.3108079477e+08,9.3108079477e+08,2.3842529237e+08,2.3842529237e+08
2020-03-22 17:05:00,9.0805804852e+08,9.0805804852e+08,2.7485134697e+08,2.7485134697e+08
2020-03-22 17:10:00,8.0816154607e+08,8.0816154607e+08,2.5772598990e+08,2.5772598990e+08
2020-03-22 17:15:00,8.5804185537e+08,8.5804185537e+08,2.7639111711e+08,2.7639111711e+08
2020-03-22 17:20:00,9.5029842357e+08,9.5029842357e+08,2.8727284153e+08,2.8727284153e+08
