DATE,HUSI,HUSI_peak,SIHU,HUSI_peak
2020-03-31 03:45:00,2.2712396275e+08,2.2712396275e+08,1.6539230752e+08,1.6539230752e+08
2020-03-31 03:50:00,6.6356830430e+08,6.6356830430e+08,2.0801763968e+08,2.0801763968e+08
2020-03-31 03:55:00,5.7523625960e+08,5.7523625960e+08,1.3740138293e+08,1.3740138293e+08
2020-03-31 04:00:00,1.4856735111e+08,1.4856735111e+08,1.6157915079e+08,1.6157915079e+08
2020-03-31 04:05:00,6.8897334204e+08,6.8897334204e+08,1.4304042200e+08,1.4304042200e+08
2020-03-31 04:10:00,9.9311496528e+08,9.9311496528e+08,1.1332784918e+08,1.1332784918e+08
2020-03-31 04:15:00,1.2322959579e+09,1.2322959579e+09,1.4357129169e+08,1.4357129169e+08
2020-03-31 04:20:00,1.1537999902e+09,1.1537999902e+09,1.4632751339e+08,1.4632751339e+08
2020-03-31 04:25:00,1.0515236886e+09,1.0515236886e+09,8.7672969526e+07,8.7672969526e+07
2020-03-31 04:30:00,1.3219424058e+09,1.3219424058e+09,1.0930104193e+08,1.0930104193e+08
2020-03-31 04:35:00,1.0773088949e+09,1.0773088949e+09,8.7006795010e+07,8.7006795010e+07
2020-03-31 04:40:00,1.0192342392e+09,1.0192342392e+09,1.7025739639e+08,1.7025739639e+08
2020-03-31 04:45:00,1.3607593717e+09,1.3607593717e+09,1.1083705483e+08,1.1083705483e+08
2020-03-31 04:50:00,1.5019705288e+09,1.5019705288e+09,7.9290416520e+07,7.9290416520e+07
2020-03-31 04:55:00,1.2348368435e+09,1.2348368435e+09,1.1100615392e+08,1.1100615392e+08
2020-03-31 05:00:00,9.5587494948e+08,9.5587494948e+08,9.1192933251e+07,9.1192933251e+07
2020-03-31 05:05:00,9.7420142719e+08,9.7420142719e+08,9.8646494496e+07,9.8646494496e+07
2020-03-31 05:10:00,7.6250179884e+08,7.6250179884e+08,9.6298744517e+07,9.6298744517e+07
2020-03-31 05:15:00,4.9004000591e+08,4.9004000591e+08,1.4833138574e+08,1.4833138574e+08
2020-03-31 05:20:00,1.2951785275e+08,1.2951785275e+08,1.1405715014e+08,1.1405715014e+08
2020-03-31 05:25:00,3.2783090934e+08,3.2783090934e+08,1.1829290365e+08,1.1829290365e+08
2020-03-31 05:30:00,3.0288977169e+08,3.0288977169e+08,1.2820051500e+08,1.2820051500e+08
2020-03-31 05:35:00,4.8156150284e+08,4.8156150284e+08,1.2631837354e+08,1.2631837354e+08
2020-03-31 05:40:00,3.7247603938e+08,3.7247603938e+08,1.7139134836e+08,1.7139134836e+08
2020-03-31 05:45:00,2.0605909748e+08,2.0605909748e+08,2.1687007343e+08,2.1687007343e+08
2020-03-31 05:50:00,3.6354330647e+08,3.6354330647e+08,1.4040847061e+08,1.4040847061e+08
2020-03-31 05:55:00,2.5674183743e+08,2.5674183743e+08,2.0071038099e+08,2.0071038099e+08
2020-03-31 06:00:00,2.3336073309e+08,2.3336073309e+08,2.4614017590e+08,2.4614017590e+08
