DATE,BEUK,BEUK_peak,UKBE,BEUK_peak
2020-03-22 10:35:00,4.4750874999e+08,4.4750874999e+08,8.1746139139e+07,8.1746139139e+07
2020-03-22 10:40:00,3.7300292784e+08,3.7300292784e+08,8.5093173485e+07,8.5093173485e+07
2020-03-22 10:45:00,3.7255659533e+08,3.7255659533e+08,7.7208699368e+07,7.7208699368e+07
2020-03-22 10:50:00,3.8303574760e+08,3.8303574760e+08,8.1843690886e+07,8.1843690886e+07
2020-03-22 10:55:00,3.7588192888e+08,3.7588192888e+08,7.0718826436e+07,7.0718826436e+07
2020-03-22 11:00:00,3.5682853517e+08,3.5682853517e+08,7.0166013277e+07,7.0166013277e+07
2020-03-22 11:05:00,3.9321889494e+08,3.9321889494e+08,7.4658894185e+07,7.4658894185e+07
2020-03-22 11:10:00,4.1381973327e+08,4.1381973327e+08,6.2253908438e+07,6.2253908438e+07
2020-03-22 11:15:00,4.0373746016e+08,4.0373746016e+08,6.4221387048e+07,6.4221387048e+07
2020-03-22 11:20:00,4.4650519670e+08,4.4650519670e+08,6.2471517594e+07,6.2471517594e+07
2020-03-22 11:25:00,4.1230769104e+08,4.1230769104e+08,6.2235817898e+07,6.2235817898e+07
2020-03-22 11:30:00,4.1574816561e+08,4.1574816561e+08,5.8463036293e+07,5.8463036293e+07
2020-03-22 11:35:00,4.7066944719e+08,4.7066944719e+08,6.3147368341e+07,6.3147368341e+07
2020-03-22 11:40:00,5.1387677944e+08,5.1387677944e+08,6.6283250629e+07,6.6283250629e+07
2020-03-22 11:45:00,5.3267295130e+08,5.3267295130e+08,6.5186273789e+07,6.5186273789e+07
2020-03-22 11:50:00,5.0144885919e+08,5.0144885919e+08,6.9310120639e+07,6.9310120639e+07
2020-03-22 11:55:00,5.4831514284e+08,5.4831514284e+08,6.4287279180e+07,6.4287279180e+07
2020-03-22 12:00:00,6.3685830287e+08,6.3685830287e+08,8.0665138295e+07,8.0665138295e+07
2020-03-22 12:05:00,7.3198332821e+08,7.3198332821e+08,7.9582559248e+07,7.9582559248e+07
2020-03-22 12:10:00,5.9648189001e+08,5.9648189001e+08,7.8972925133e+07,7.8972925133e+07
2020-03-22 12:15:00,5.6377502697e+08,5.6377502697e+08,8.5059820358e+07,8.5059820358e+07
2020-03-22 12:20:00,6.3669476453e+08,6.3669476453e+08,8.1502312487e+07,8.1502312487e+07
2020-03-22 12:25:00,5.9447781258e+08,5.9447781258e+08,6.9460205555e+07,6.9460205555e+07
2020-03-22 12:30:00,5.3917020817e+08,5.3917020817e+08,7.0170057877e+07,7.0170057877e+07
2020-03-22 12:35:00,5.4948804870e+08,5.4948804870e+08,7.0359108547e+07,7.0359108547e+07
2020-03-22 12:40:00,5.4323344547e+08,5.4323344547e+08,6.0197802057e+07,6.0197802057e+07
2020-03-22 12:45:00,5.5425166444e+08,5.5425166444e+08,8.2412251126e+07,8.2412251126e+07
2020-03-22 12:50:00,5.7254644721e+08,5.7254644721e+08,6.9407346719e+07,6.9407346719e+07
2020-03-22 12:55:00,6.0082994861e+08,6.0082994861e+08,5.4902951446e+07,5.4902951446e+07
2020-03-22 13:00:00,5.7762336736e+08,5.7762336736e+08,6.6489134823e+07,6.6489134823e+07
2020-03-22 13:05:00,5.5580132693e+08,5.5580132693e+08,7.0839643670e+07,7.0839643670e+07
2020-03-22 13:10:00,5.6356078977e+08,5.6356078977e+08,6.8079275384e+07,6.8079275384e+07
2020-03-22 13:15:00,5.2980808620e+08,5.2980808620e+08,6.2260831900e+07,6.2260831900e+07
2020-03-22 13:20:00,5.1533064324e+08,5.1533064324e+08,7.3158132104e+07,7.3158132104e+07
2020-03-22 13:25:00,5.1247562004e+08,5.1247562004e+08,7.2441377449e+07,7.2441377449e+07
2020-03-22 13:30:00,5.5710998280e+08,5.5710998280e+08,6.8106799935e+07,6.8106799935e+07
2020-03-22 13:35:00,5.5896059696e+08,5.5896059696e+08,6.9429407754e+07,6.9429407754e+07
2020-03-22 13:40:00,6.1986975850e+08,6.1986975850e+08,6.4608233068e+07,6.4608233068e+07
