DATE,CHIT,CHIT_peak,ITCH,CHIT_peak
2020-03-27 15:35:00,2.8431798441e+10,2.8431798441e+10,2.6566959959e+10,2.6566959959e+10
2020-03-27 15:40:00,2.8485008292e+10,2.8485008292e+10,2.9482064696e+10,2.9482064696e+10
2020-03-27 15:45:00,3.3789741969e+10,3.3789741969e+10,3.7666516776e+10,3.7666516776e+10
2020-03-27 15:50:00,3.4987131417e+10,3.4987131417e+10,3.4353723673e+10,3.4353723673e+10
2020-03-27 15:55:00,3.4867167005e+10,3.4867167005e+10,3.3739280514e+10,3.3739280514e+10
2020-03-27 16:00:00,4.6307005303e+10,4.6307005303e+10,3.6577798139e+10,3.6577798139e+10
2020-03-27 16:05:00,3.8473880044e+10,3.8473880044e+10,3.7630587207e+10,3.7630587207e+10
2020-03-27 16:10:00,3.2701445883e+10,3.2701445883e+10,4.1057167303e+10,4.1057167303e+10
2020-03-27 16:15:00,3.2166511061e+10,3.2166511061e+10,3.9166656405e+10,3.9166656405e+10
2020-03-27 16:20:00,3.1681544777e+10,3.1681544777e+10,3.7608900762e+10,3.7608900762e+10
2020-03-27 16:25:00,3.0602769353e+10,3.0602769353e+10,3.6576214169e+10,3.6576214169e+10
2020-03-27 16:30:00,3.2708325473e+10,3.2708325473e+10,3.8327108433e+10,3.8327108433e+10
2020-03-27 16:35:00,3.1940437113e+10,3.1940437113e+10,4.1047070852e+10,4.1047070852e+10
2020-03-27 16:40:00,3.3137386085e+10,3.3137386085e+10,3.7360086961e+10,3.7360086961e+10
2020-03-27 16:45:00,3.5929391721e+10,3.5929391721e+10,3.5354230699e+10,3.5354230699e+10
2020-03-27 16:50:00,3.4106506233e+10,3.4106506233e+10,3.9446178248e+10,3.9446178248e+10
2020-03-27 16:55:00,3.7305438305e+10,3.7305438305e+10,3.6257943725e+10,3.6257943725e+10
2020-03-27 17:00:00,3.4936438752e+10,3.4936438752e+10,3.5050225404e+10,3.5050225404e+10
2020-03-27 17:05:00,3.1934466448e+10,3.1934466448e+10,3.9044994230e+10,3.9044994230e+10
2020-03-27 17:10:00,3.2603443012e+10,3.2603443012e+10,3.7339790849e+10,3.7339790849e+10
2020-03-27 17:15:00,3.3466289889e+10,3.3466289889e+10,3.9274459029e+10,3.9274459029e+10
2020-03-27 17:20:00,3.0868254060e+10,3.0868254060e+10,3.9182998861e+10,3.9182998861e+10
2020-03-27 17:25:00,2.8491740535e+10,2.8491740535e+10,3.6737901165e+10,3.6737901165e+10
2020-03-27 17:30:00,2.6579347793e+10,2.6579347793e+10,3.5314996118e+10,3.5314996118e+10
2020-03-27 17:35:00,2.5287294717e+10,2.5287294717e+10,4.3031568241e+10,4.3031568241e+10
2020-03-27 17:40:00,2.0937505653e+10,2.0937505653e+10,4.5128675671e+10,4.5128675671e+10
2020-03-27 17:45:00,2.4634265363e+10,2.4634265363e+10,3.9699678086e+10,3.9699678086e+10
2020-03-27 17:50:00,2.6718375214e+10,2.6718375214e+10,4.1646493355e+10,4.1646493355e+10
2020-03-27 17:55:00,3.1981808308e+10,3.1981808308e+10,3.7597635046e+10,3.7597635046e+10
2020-03-27 18:00:00,3.5720166198e+10,3.5720166198e+10,4.0811449352e+10,4.0811449352e+10
2020-03-27 18:05:00,3.0553671917e+10,3.0553671917e+10,4.1426971043e+10,4.1426971043e+10
2020-03-27 18:10:00,2.5209039916e+10,2.5209039916e+10,3.3392918649e+10,3.3392918649e+10
2020-03-27 18:15:00,2.2725200459e+10,2.2725200459e+10,3.7525508797e+10,3.7525508797e+10
2020-03-27 18:20:00,2.4086611428e+10,2.4086611428e+10,3.6804275993e+10,3.6804275993e+10
2020-03-27 18:25:00,2.3496429485e+10,2.3496429485e+10,3.4967038829e+10,3.4967038829e+10
2020-03-27 18:30:00,1.9013352934e+10,1.9013352934e+10,3.6236834994e+10,3.6236834994e+10
2020-03-27 18:35:00,2.8103520441e+10,2.8103520441e+10,3.6080936243e+10,3.6080936243e+10
2020-03-27 18:40:00,2.5977958886e+10,2.5977958886e+10,3.3825806906e+10,3.3825806906e+10
2020-03-27 18:45:00,2.7307177735e+10,2.7307177735e+10,3.0580458127e+10,3.0580458127e+10
2020-03-27 18:50:00,2.3153862671e+10,2.3153862671e+10,2.5707302233e+10,2.5707302233e+10
2020-03-27 18:55:00,3.0020641500e+10,3.0020641500e+10,3.1361346009e+10,3.1361346009e+10
2020-03-27 19:00:00,3.1979989809e+10,3.1979989809e+10,3.2027614518e+10,3.2027614518e+10
2020-03-27 19:05:00,3.4717188592e+10,3.4717188592e+10,2.9993014230e+10,2.9993014230e+10
