DATE,CZAT,CZAT_peak,ATCZ,ATCZ_peak
2020-03-15 14:20:00,4.4449102468e+09,4.4449102468e+09,1.4710888432e+10,1.4710888432e+10
2020-03-15 14:25:00,2.9071386763e+09,2.9071386763e+09,1.5637835381e+10,1.5637835381e+10
2020-03-15 14:30:00,3.2436323425e+09,3.2436323425e+09,1.6026536540e+10,1.6026536540e+10
2020-03-15 14:35:00,4.2675013882e+09,4.2675013882e+09,2.0303413234e+10,2.0303413234e+10
2020-03-15 14:40:00,3.9440824985e+09,3.9440824985e+09,1.8185788447e+10,1.8185788447e+10
2020-03-15 14:45:00,3.9522250986e+09,3.9522250986e+09,1.7752049703e+10,1.7752049703e+10
2020-03-15 14:50:00,4.3726532262e+09,4.3726532262e+09,1.8115667215e+10,1.8115667215e+10
2020-03-15 14:55:00,5.1924295161e+09,5.1924295161e+09,1.7405973157e+10,1.7405973157e+10
2020-03-15 15:00:00,6.9315684438e+09,6.9315684438e+09,1.6502163591e+10,1.6502163591e+10
2020-03-15 15:05:00,5.0929690427e+09,5.0929690427e+09,2.0949927605e+10,2.0949927605e+10
2020-03-15 15:10:00,4.2433545406e+09,4.2433545406e+09,1.5374046530e+10,1.5374046530e+10
2020-03-15 15:15:00,3.9641870786e+09,3.9641870786e+09,1.5452414339e+10,1.5452414339e+10
2020-03-15 15:20:00,5.4056529314e+09,5.4056529314e+09,1.6246050862e+10,1.6246050862e+10
2020-03-15 15:25:00,3.9975770751e+09,3.9975770751e+09,1.5328423649e+10,1.5328423649e+10
2020-03-15 15:30:00,3.0306766783e+09,3.0306766783e+09,1.4483839936e+10,1.4483839936e+10
2020-03-15 15:35:00,4.2094526758e+09,4.2094526758e+09,1.9492310964e+10,1.9492310964e+10
2020-03-15 15:40:00,3.5414010699e+09,3.5414010699e+09,1.8128753693e+10,1.8128753693e+10
2020-03-15 15:45:00,4.3294837171e+09,4.3294837171e+09,1.6203174573e+10,1.6203174573e+10
2020-03-15 15:50:00,8.0355038834e+09,8.0355038834e+09,1.6784360513e+10,1.6784360513e+10
2020-03-15 15:55:00,8.9511242353e+09,8.9511242353e+09,1.8201987891e+10,1.8201987891e+10
2020-03-15 16:00:00,9.3062365762e+09,9.3062365762e+09,1.8945419921e+10,1.8945419921e+10
2020-03-15 16:05:00,9.4336816816e+09,9.4336816816e+09,1.9198380163e+10,1.9198380163e+10
2020-03-15 16:10:00,8.5930910397e+09,8.5930910397e+09,1.6022591109e+10,1.6022591109e+10
2020-03-15 16:15:00,8.8513056245e+09,8.8513056245e+09,1.7501643786e+10,1.7501643786e+10
2020-03-15 16:20:00,8.7507559938e+09,8.7507559938e+09,1.7622193464e+10,1.7622193464e+10
2020-03-15 16:25:00,8.4881257436e+09,8.4881257436e+09,1.7021862707e+10,1.7021862707e+10
2020-03-15 16:30:00,1.0178423882e+10,1.0178423882e+10,1.9753610236e+10,1.9753610236e+10
2020-03-15 16:35:00,9.2372869580e+09,9.2372869580e+09,2.7516956993e+10,2.7516956993e+10
2020-03-15 16:40:00,8.6507894023e+09,8.6507894023e+09,2.1973047013e+10,2.1973047013e+10
2020-03-15 16:45:00,8.4156183679e+09,8.4156183679e+09,1.8444324870e+10,1.8444324870e+10
2020-03-15 16:50:00,7.3450259053e+09,7.3450259053e+09,1.9361484505e+10,1.9361484505e+10
2020-03-15 16:55:00,6.7538194983e+09,6.7538194983e+09,2.0860312154e+10,2.0860312154e+10
2020-03-15 17:00:00,4.7422916880e+09,4.7422916880e+09,2.1656681988e+10,2.1656681988e+10
2020-03-15 17:05:00,4.2454571147e+09,4.2454571147e+09,2.2173371925e+10,2.2173371925e+10
2020-03-15 17:10:00,4.0686062993e+09,4.0686062993e+09,2.0828890645e+10,2.0828890645e+10
2020-03-15 17:15:00,3.2986584058e+09,3.2986584058e+09,2.3853687760e+10,2.3853687760e+10
2020-03-15 17:20:00,4.9067666670e+09,4.9067666670e+09,2.4402423700e+10,2.4402423700e+10
2020-03-15 17:25:00,3.5334221848e+09,3.5334221848e+09,2.2112277398e+10,2.2112277398e+10
2020-03-15 17:30:00,3.2186142146e+09,3.2186142146e+09,1.9838936558e+10,1.9838936558e+10
2020-03-15 17:35:00,3.2502708015e+09,3.2502708015e+09,2.6218881827e+10,2.6218881827e+10
2020-03-15 17:40:00,3.2812244171e+09,3.2812244171e+09,2.5573626089e+10,2.5573626089e+10
2020-03-15 17:45:00,3.2683398909e+09,3.2683398909e+09,2.3184022811e+10,2.3184022811e+10
2020-03-15 17:50:00,4.9345107938e+09,4.9345107938e+09,2.1934195926e+10,2.1934195926e+10
2020-03-15 17:55:00,4.0588571895e+09,4.0588571895e+09,2.2019526292e+10,2.2019526292e+10
2020-03-15 18:00:00,4.2341007150e+09,4.2341007150e+09,2.1511235450e+10,2.1511235450e+10
2020-03-15 18:05:00,3.5751068545e+09,3.5751068545e+09,2.3418576467e+10,2.3418576467e+10
2020-03-15 18:10:00,3.0498001147e+09,3.0498001147e+09,1.9352887889e+10,1.9352887889e+10
2020-03-15 18:15:00,3.2113468212e+09,3.2113468212e+09,1.9474983071e+10,1.9474983071e+10
2020-03-15 18:20:00,3.8886268072e+09,3.8886268072e+09,1.9552281557e+10,1.9552281557e+10
2020-03-15 18:25:00,3.2285052653e+09,3.2285052653e+09,1.8148331968e+10,1.8148331968e+10
2020-03-15 18:30:00,3.0804099767e+09,3.0804099767e+09,1.6958316251e+10,1.6958316251e+10
2020-03-15 18:35:00,4.8024325058e+09,4.8024325058e+09,2.2448666156e+10,2.2448666156e+10
2020-03-15 18:40:00,3.5035972484e+09,3.5035972484e+09,1.9824129302e+10,1.9824129302e+10
2020-03-15 18:45:00,3.1032396111e+09,3.1032396111e+09,2.0567442596e+10,2.0567442596e+10
2020-03-15 18:50:00,4.1790831301e+09,4.1790831301e+09,2.3214392078e+10,2.3214392078e+10
2020-03-15 18:55:00,4.1240450429e+09,4.1240450429e+09,2.2976531667e+10,2.2976531667e+10
2020-03-15 19:00:00,4.0141879983e+09,4.0141879983e+09,2.5013340309e+10,2.5013340309e+10
2020-03-15 19:05:00,4.1625184092e+09,4.1625184092e+09,2.9072192383e+10,2.9072192383e+10
