DATE,DUEE,DUEE_peak,EEDU,DUEE_peak
2020-03-15 14:05:00,1.6528483399e+09,1.6528483399e+09,2.5522559085e+09,2.5522559085e+09
2020-03-15 14:10:00,1.7345042632e+09,1.7345042632e+09,2.9024698880e+09,2.9024698880e+09
2020-03-15 14:15:00,1.4696190013e+09,1.4696190013e+09,2.3671443541e+09,2.3671443541e+09
2020-03-15 14:20:00,1.6488083141e+09,1.6488083141e+09,2.3364982306e+09,2.3364982306e+09
2020-03-15 14:25:00,1.2001405648e+09,1.2001405648e+09,2.1517074024e+09,2.1517074024e+09
2020-03-15 14:30:00,2.1321987210e+09,2.1321987210e+09,2.1620003513e+09,2.1620003513e+09
2020-03-15 14:35:00,1.1151777295e+09,1.1151777295e+09,2.0543070489e+09,2.0543070489e+09
2020-03-15 14:40:00,1.5880202006e+09,1.5880202006e+09,2.1227764641e+09,2.1227764641e+09
2020-03-15 14:45:00,1.3247285226e+09,1.3247285226e+09,2.4888221311e+09,2.4888221311e+09
2020-03-15 14:50:00,1.4270044721e+09,1.4270044721e+09,2.4108911340e+09,2.4108911340e+09
2020-03-15 14:55:00,1.4057931805e+09,1.4057931805e+09,2.5192036557e+09,2.5192036557e+09
2020-03-15 15:00:00,1.2451467014e+09,1.2451467014e+09,2.9580382754e+09,2.9580382754e+09
2020-03-15 15:05:00,1.6990576170e+09,1.6990576170e+09,2.4254775578e+09,2.4254775578e+09
2020-03-15 15:10:00,2.1915488201e+09,2.1915488201e+09,2.3750724824e+09,2.3750724824e+09
2020-03-15 15:15:00,2.1526453959e+09,2.1526453959e+09,2.4499646706e+09,2.4499646706e+09
2020-03-15 15:20:00,2.2085553832e+09,2.2085553832e+09,2.2545508231e+09,2.2545508231e+09
2020-03-15 15:25:00,1.9967300600e+09,1.9967300600e+09,2.0085361953e+09,2.0085361953e+09
2020-03-15 15:30:00,2.1872143742e+09,2.1872143742e+09,2.1525618316e+09,2.1525618316e+09
2020-03-15 15:35:00,1.5486764993e+09,1.5486764993e+09,2.1447633255e+09,2.1447633255e+09
2020-03-15 15:40:00,2.4521368112e+09,2.4521368112e+09,2.1741856903e+09,2.1741856903e+09
2020-03-15 15:45:00,2.2567484432e+09,2.2567484432e+09,2.1862444885e+09,2.1862444885e+09
2020-03-15 15:50:00,2.3824430818e+09,2.3824430818e+09,2.1437742551e+09,2.1437742551e+09
2020-03-15 15:55:00,2.2926642620e+09,2.2926642620e+09,2.4095929429e+09,2.4095929429e+09
2020-03-15 16:00:00,2.8050083080e+09,2.8050083080e+09,3.1775908954e+09,3.1775908954e+09
2020-03-15 16:05:00,2.2900029763e+09,2.2900029763e+09,3.4784947433e+09,3.4784947433e+09
