DATE,DUEE,DUEE_peak,EEDU,DUEE_peak
2020-03-24 20:30:00,6.7201619149e+09,6.7201619149e+09,1.5158735793e+10,1.5158735793e+10
2020-03-24 20:35:00,5.6073138997e+09,5.6073138997e+09,1.5401340928e+10,1.5401340928e+10
2020-03-24 20:40:00,2.4643488240e+09,2.4643488240e+09,1.5517592134e+10,1.5517592134e+10
2020-03-24 20:45:00,4.7772484038e+09,4.7772484038e+09,1.5720064826e+10,1.5720064826e+10
2020-03-24 20:50:00,3.5636235564e+09,3.5636235564e+09,1.6031700214e+10,1.6031700214e+10
2020-03-24 20:55:00,3.0932102857e+09,3.0932102857e+09,1.5677707659e+10,1.5677707659e+10
2020-03-24 21:00:00,2.2243851956e+09,2.2243851956e+09,1.5589120386e+10,1.5589120386e+10
2020-03-24 21:05:00,3.4251090009e+09,3.4251090009e+09,1.5344983717e+10,1.5344983717e+10
2020-03-24 21:10:00,1.3552840622e+09,1.3552840622e+09,1.4539724373e+10,1.4539724373e+10
2020-03-24 21:15:00,3.0159109166e+09,3.0159109166e+09,1.5778572544e+10,1.5778572544e+10
2020-03-24 21:20:00,6.2525520495e+09,6.2525520495e+09,1.5530472280e+10,1.5530472280e+10
2020-03-24 21:25:00,2.3027877920e+09,2.3027877920e+09,1.5078169659e+10,1.5078169659e+10
2020-03-24 21:30:00,1.6031546460e+09,1.6031546460e+09,1.5770748305e+10,1.5770748305e+10
2020-03-24 21:35:00,5.7001301434e+09,5.7001301434e+09,1.6698936796e+10,1.6698936796e+10
2020-03-24 21:40:00,5.8207437632e+09,5.8207437632e+09,1.6534178126e+10,1.6534178126e+10
2020-03-24 21:45:00,2.2930000311e+09,2.2930000311e+09,1.6041793263e+10,1.6041793263e+10
2020-03-24 21:50:00,1.4555745955e+09,1.4555745955e+09,1.5819768402e+10,1.5819768402e+10
2020-03-24 21:55:00,1.3796485195e+09,1.3796485195e+09,1.5112207994e+10,1.5112207994e+10
