DATE,IRUI,IRUI_peak,UIIR,IRUI_peak
2020-03-15 18:35:00,7.4479161474e+06,7.4479161474e+06,7.8268601527e+07,7.8268601527e+07
2020-03-15 18:40:00,6.3610698930e+06,6.3610698930e+06,8.4937256389e+07,8.4937256389e+07
2020-03-15 18:45:00,5.0114501123e+06,5.0114501123e+06,1.0699741502e+08,1.0699741502e+08
2020-03-15 18:50:00,7.9287838431e+06,7.9287838431e+06,1.2767364405e+08,1.2767364405e+08
2020-03-15 18:55:00,5.7401412331e+07,5.7401412331e+07,1.1648239314e+08,1.1648239314e+08
2020-03-15 19:00:00,1.1240726540e+07,1.1240726540e+07,1.0743780134e+08,1.0743780134e+08
2020-03-15 19:05:00,7.7797588657e+06,7.7797588657e+06,1.1067941110e+08,1.1067941110e+08
2020-03-15 19:10:00,8.9106680950e+06,8.9106680950e+06,8.8940983374e+07,8.8940983374e+07
2020-03-15 19:15:00,8.4557696141e+06,8.4557696141e+06,9.6866321291e+07,9.6866321291e+07
2020-03-15 19:20:00,8.1741489216e+06,8.1741489216e+06,1.0175839411e+08,1.0175839411e+08
2020-03-15 19:25:00,7.4553635434e+06,7.4553635434e+06,9.5345813271e+07,9.5345813271e+07
2020-03-15 19:30:00,6.8766748158e+06,6.8766748158e+06,8.4220155919e+07,8.4220155919e+07
2020-03-15 19:35:00,5.7638115110e+06,5.7638115110e+06,8.2800536411e+07,8.2800536411e+07
2020-03-15 19:40:00,7.4939060254e+06,7.4939060254e+06,9.1766731184e+07,9.1766731184e+07
2020-03-15 19:45:00,8.5333279111e+06,8.5333279111e+06,8.9230511818e+07,8.9230511818e+07
