DATE,PLAT,PLAT_peak,ATPL,ATPL_peak
2020-03-28 15:05:00,6.0653085934e+08,6.0653085934e+08,3.2890566233e+07,3.2890566233e+07
2020-03-28 15:10:00,6.9730325711e+08,6.9730325711e+08,3.0296124950e+07,3.0296124950e+07
2020-03-28 15:15:00,6.5709175352e+08,6.5709175352e+08,1.2916097221e+08,1.2916097221e+08
2020-03-28 15:20:00,6.5250671511e+08,6.5250671511e+08,7.5946932387e+07,7.5946932387e+07
2020-03-28 15:25:00,6.2480155275e+08,6.2480155275e+08,2.6033182637e+07,2.6033182637e+07
2020-03-28 15:30:00,6.9760209443e+08,6.9760209443e+08,3.3788616586e+07,3.3788616586e+07
2020-03-28 15:35:00,7.8314023603e+08,7.8314023603e+08,2.7931565018e+07,2.7931565018e+07
2020-03-28 15:40:00,7.1020115657e+08,7.1020115657e+08,2.7732418767e+07,2.7732418767e+07
2020-03-28 15:45:00,6.8794209629e+08,6.8794209629e+08,2.6100741716e+07,2.6100741716e+07
2020-03-28 15:50:00,6.5063637731e+08,6.5063637731e+08,3.0575353675e+07,3.0575353675e+07
2020-03-28 15:55:00,7.2382752784e+08,7.2382752784e+08,3.2973595377e+07,3.2973595377e+07
2020-03-28 16:00:00,7.4499879962e+08,7.4499879962e+08,3.8825875176e+07,3.8825875176e+07
2020-03-28 16:05:00,5.8624483106e+08,5.8624483106e+08,8.6777378692e+07,8.6777378692e+07
2020-03-28 16:10:00,6.1080442109e+08,6.1080442109e+08,4.4112276529e+07,4.4112276529e+07
2020-03-28 16:15:00,5.8950477935e+08,5.8950477935e+08,3.7435920083e+07,3.7435920083e+07
2020-03-28 16:20:00,5.7267438584e+08,5.7267438584e+08,4.4932443391e+07,4.4932443391e+07
2020-03-28 16:25:00,6.0195937682e+08,6.0195937682e+08,5.5921713377e+07,5.5921713377e+07
2020-03-28 16:30:00,5.8268886764e+08,5.8268886764e+08,1.3102328885e+08,1.3102328885e+08
2020-03-28 16:35:00,6.6872256719e+08,6.6872256719e+08,4.2393824380e+07,4.2393824380e+07
2020-03-28 16:40:00,6.3149063203e+08,6.3149063203e+08,6.0260350217e+08,6.0260350217e+08
2020-03-28 16:45:00,5.8390918095e+08,5.8390918095e+08,5.1050181329e+07,5.1050181329e+07
2020-03-28 16:50:00,1.1135251969e+09,1.1135251969e+09,5.4357166532e+07,5.4357166532e+07
2020-03-28 16:55:00,5.7868229051e+08,5.7868229051e+08,4.8312626557e+07,4.8312626557e+07
2020-03-28 17:00:00,1.1057391501e+09,1.1057391501e+09,5.6838353292e+07,5.6838353292e+07
2020-03-28 17:05:00,6.0297226823e+08,6.0297226823e+08,3.8652145118e+07,3.8652145118e+07
2020-03-28 17:10:00,6.0413429866e+08,6.0413429866e+08,3.7570200840e+07,3.7570200840e+07
2020-03-28 17:15:00,6.1156352784e+08,6.1156352784e+08,3.9173230311e+07,3.9173230311e+07
2020-03-28 17:20:00,8.2373714564e+08,8.2373714564e+08,5.0084425549e+07,5.0084425549e+07
2020-03-28 17:25:00,6.6380228343e+08,6.6380228343e+08,1.0500701419e+08,1.0500701419e+08
2020-03-28 17:30:00,6.3985069797e+08,6.3985069797e+08,3.8873180505e+07,3.8873180505e+07
2020-03-28 17:35:00,6.5769553028e+08,6.5769553028e+08,3.1972166857e+07,3.1972166857e+07
2020-03-28 17:40:00,5.7859955480e+08,5.7859955480e+08,3.7517954860e+07,3.7517954860e+07
2020-03-28 17:45:00,5.7343182455e+08,5.7343182455e+08,4.0742799694e+07,4.0742799694e+07
2020-03-28 17:50:00,6.0896290324e+08,6.0896290324e+08,3.9056850154e+07,3.9056850154e+07
2020-03-28 17:55:00,6.7933539373e+08,6.7933539373e+08,3.9596004296e+07,3.9596004296e+07
2020-03-28 18:00:00,7.2271389464e+08,7.2271389464e+08,4.2353139853e+07,4.2353139853e+07
2020-03-28 18:05:00,7.1636457723e+08,7.1636457723e+08,1.2288690915e+08,1.2288690915e+08
2020-03-28 18:10:00,8.8546896581e+08,8.8546896581e+08,3.8024404731e+07,3.8024404731e+07
2020-03-28 18:15:00,7.6901159767e+08,7.6901159767e+08,3.4440559193e+07,3.4440559193e+07
2020-03-28 18:20:00,7.0391362989e+08,7.0391362989e+08,3.4746904785e+07,3.4746904785e+07
2020-03-28 18:25:00,9.5163600166e+08,9.5163600166e+08,3.8812352160e+07,3.8812352160e+07
2020-03-28 18:30:00,8.6514326121e+08,8.6514326121e+08,3.5797690610e+07,3.5797690610e+07
2020-03-28 18:35:00,6.6811087633e+08,6.6811087633e+08,3.2592192320e+07,3.2592192320e+07
2020-03-28 18:40:00,7.2470407477e+08,7.2470407477e+08,3.7882044468e+07,3.7882044468e+07
2020-03-28 18:45:00,6.6951654765e+08,6.6951654765e+08,4.0210876929e+07,4.0210876929e+07
2020-03-28 18:50:00,6.7874566881e+08,6.7874566881e+08,4.1721528851e+07,4.1721528851e+07
2020-03-28 18:55:00,7.5449338689e+08,7.5449338689e+08,8.2904633911e+07,8.2904633911e+07
2020-03-28 19:00:00,6.5457414294e+08,6.5457414294e+08,4.8996781779e+07,4.8996781779e+07
2020-03-28 19:05:00,7.7671890661e+08,7.7671890661e+08,5.0886630764e+07,5.0886630764e+07
2020-03-28 19:10:00,8.8869679942e+08,8.8869679942e+08,4.2869929137e+07,4.2869929137e+07
2020-03-28 19:15:00,6.6185049306e+08,6.6185049306e+08,5.2988158821e+07,5.2988158821e+07
2020-03-28 19:20:00,8.7701682193e+08,8.7701682193e+08,4.3643955748e+07,4.3643955748e+07
2020-03-28 19:25:00,8.6793459701e+08,8.6793459701e+08,4.7751702853e+07,4.7751702853e+07
2020-03-28 19:30:00,6.9143315757e+08,6.9143315757e+08,4.1689753097e+07,4.1689753097e+07
2020-03-28 19:35:00,6.7267812722e+08,6.7267812722e+08,1.4055289860e+08,1.4055289860e+08
2020-03-28 19:40:00,7.2163693900e+08,7.2163693900e+08,4.0693914708e+07,4.0693914708e+07
2020-03-28 19:45:00,8.3699702449e+08,8.3699702449e+08,4.5528795191e+07,4.5528795191e+07
2020-03-28 19:50:00,9.5791771703e+08,9.5791771703e+08,4.1530086620e+07,4.1530086620e+07
2020-03-28 19:55:00,8.5420585339e+08,8.5420585339e+08,3.8288998413e+07,3.8288998413e+07
2020-03-28 20:00:00,1.0039380815e+09,1.0039380815e+09,3.4448074533e+07,3.4448074533e+07
2020-03-28 20:05:00,1.0639841177e+09,1.0639841177e+09,2.9949172235e+07,2.9949172235e+07
2020-03-28 20:10:00,7.5094208046e+08,7.5094208046e+08,3.2874303475e+07,3.2874303475e+07
2020-03-28 20:15:00,7.4065692350e+08,7.4065692350e+08,3.2064920230e+07,3.2064920230e+07
2020-03-28 20:20:00,7.3531155802e+08,7.3531155802e+08,3.1550083181e+07,3.1550083181e+07
2020-03-28 20:25:00,7.7658148068e+08,7.7658148068e+08,3.8273023215e+08,3.8273023215e+08
