DATE,ATHR,ATHR_peak,HRAT,ATHR_peak
2020-03-22 12:15:00,3.5414471563e+06,3.5414471563e+06,1.4046045506e+06,1.4046045506e+06
2020-03-22 12:20:00,1.7577218416e+06,1.7577218416e+06,1.3896538562e+06,1.3896538562e+06
2020-03-22 12:25:00,1.9985008296e+06,1.9985008296e+06,1.3441991152e+06,1.3441991152e+06
2020-03-22 12:30:00,2.2557065720e+06,2.2557065720e+06,1.4246237896e+06,1.4246237896e+06
2020-03-22 12:35:00,1.7463905087e+06,1.7463905087e+06,1.3779068347e+06,1.3779068347e+06
2020-03-22 12:40:00,1.7829882330e+06,1.7829882330e+06,1.3845288754e+06,1.3845288754e+06
2020-03-22 12:45:00,2.0572825098e+06,2.0572825098e+06,1.5276306068e+06,1.5276306068e+06
2020-03-22 12:50:00,1.9632618016e+06,1.9632618016e+06,1.3601476481e+06,1.3601476481e+06
2020-03-22 12:55:00,1.9654901594e+06,1.9654901594e+06,1.4355381068e+06,1.4355381068e+06
2020-03-22 13:00:00,1.8719644399e+06,1.8719644399e+06,1.3468415968e+06,1.3468415968e+06
2020-03-22 13:05:00,1.9437433294e+06,1.9437433294e+06,1.4348475892e+06,1.4348475892e+06
2020-03-22 13:10:00,3.8602330212e+06,3.8602330212e+06,1.3585400686e+06,1.3585400686e+06
2020-03-22 13:15:00,2.0526482772e+06,2.0526482772e+06,1.3797503717e+06,1.3797503717e+06
2020-03-22 13:20:00,1.7273819836e+06,1.7273819836e+06,1.5566591381e+06,1.5566591381e+06
2020-03-22 13:25:00,1.6952336864e+06,1.6952336864e+06,1.3639883876e+06,1.3639883876e+06
2020-03-22 13:30:00,1.6884712852e+06,1.6884712852e+06,1.4097797833e+06,1.4097797833e+06
2020-03-22 13:35:00,1.8528533227e+06,1.8528533227e+06,1.4474273198e+06,1.4474273198e+06
2020-03-22 13:40:00,1.6699660217e+06,1.6699660217e+06,1.4696080550e+06,1.4696080550e+06
2020-03-22 13:45:00,1.6859944626e+06,1.6859944626e+06,1.4372497108e+06,1.4372497108e+06
2020-03-22 13:50:00,2.5489302058e+06,2.5489302058e+06,1.4760425690e+06,1.4760425690e+06
2020-03-22 13:55:00,3.2640155031e+06,3.2640155031e+06,1.4021913182e+06,1.4021913182e+06
2020-03-22 14:00:00,2.2832490738e+06,2.2832490738e+06,1.4563855024e+06,1.4563855024e+06
2020-03-22 14:05:00,2.0837338347e+06,2.0837338347e+06,1.4411655340e+06,1.4411655340e+06
2020-03-22 14:10:00,1.6972211388e+06,1.6972211388e+06,1.3553967216e+06,1.3553967216e+06
2020-03-22 14:15:00,1.8142541634e+06,1.8142541634e+06,1.4082320642e+06,1.4082320642e+06
2020-03-22 14:20:00,2.1361295602e+06,2.1361295602e+06,1.4663688684e+06,1.4663688684e+06
2020-03-22 14:25:00,1.9359932260e+06,1.9359932260e+06,1.3858912794e+06,1.3858912794e+06
2020-03-22 14:30:00,2.0469215965e+06,2.0469215965e+06,1.4033387229e+06,1.4033387229e+06
2020-03-22 14:35:00,2.1964340260e+06,2.1964340260e+06,1.4508369510e+06,1.4508369510e+06
2020-03-22 14:40:00,2.3148061671e+06,2.3148061671e+06,1.3975782180e+06,1.3975782180e+06
2020-03-22 14:45:00,2.6149867586e+06,2.6149867586e+06,1.3773759988e+06,1.3773759988e+06
2020-03-22 14:50:00,2.9825467467e+06,2.9825467467e+06,1.4740651988e+06,1.4740651988e+06
2020-03-22 14:55:00,2.7399704146e+06,2.7399704146e+06,1.3685614004e+06,1.3685614004e+06
2020-03-22 15:00:00,2.4369196343e+06,2.4369196343e+06,1.3745424903e+06,1.3745424903e+06
2020-03-22 15:05:00,2.4020141554e+06,2.4020141554e+06,1.4079857964e+06,1.4079857964e+06
2020-03-22 15:10:00,1.8683562493e+06,1.8683562493e+06,1.4463371562e+06,1.4463371562e+06
2020-03-22 15:15:00,2.3878723615e+06,2.3878723615e+06,1.4009983378e+06,1.4009983378e+06
2020-03-22 15:20:00,1.8563858584e+06,1.8563858584e+06,1.3794967492e+06,1.3794967492e+06
