DATE,IRIE,IRIE_peak,IEIR,IEIR_peak
2020-03-15 13:55:00,1.1000312925e+08,1.1000312925e+08,4.4750564479e+07,4.4750564479e+07
2020-03-15 14:00:00,1.0717188598e+08,1.0717188598e+08,6.6263151974e+07,6.6263151974e+07
2020-03-15 14:05:00,9.6216056417e+07,9.6216056417e+07,4.4012187421e+07,4.4012187421e+07
2020-03-15 14:10:00,8.9334147839e+07,8.9334147839e+07,6.6115110921e+07,6.6115110921e+07
2020-03-15 14:15:00,8.0377236701e+07,8.0377236701e+07,4.4551484841e+07,4.4551484841e+07
2020-03-15 14:20:00,7.0068960521e+07,7.0068960521e+07,3.2863892658e+07,3.2863892658e+07
2020-03-15 14:25:00,6.8227695072e+07,6.8227695072e+07,6.9205447557e+07,6.9205447557e+07
2020-03-15 14:30:00,6.3452750359e+07,6.3452750359e+07,3.3948084553e+07,3.3948084553e+07
2020-03-15 14:35:00,8.4880088608e+07,8.4880088608e+07,5.7048522396e+07,5.7048522396e+07
2020-03-15 14:40:00,1.3059093560e+08,1.3059093560e+08,4.0042571434e+07,4.0042571434e+07
2020-03-15 14:45:00,8.4050461349e+07,8.4050461349e+07,6.2202928235e+07,6.2202928235e+07
2020-03-15 14:50:00,7.8801645159e+07,7.8801645159e+07,3.7214046584e+07,3.7214046584e+07
2020-03-15 14:55:00,6.4462029276e+07,6.4462029276e+07,5.4860829774e+07,5.4860829774e+07
2020-03-15 15:00:00,7.8677754158e+07,7.8677754158e+07,9.1490196428e+07,9.1490196428e+07
2020-03-15 15:05:00,8.1350106329e+07,8.1350106329e+07,6.3639998308e+07,6.3639998308e+07
2020-03-15 15:10:00,6.3032927076e+07,6.3032927076e+07,3.3327410359e+07,3.3327410359e+07
2020-03-15 15:15:00,6.4720002828e+07,6.4720002828e+07,6.2518927555e+07,6.2518927555e+07
2020-03-15 15:20:00,7.8766491997e+07,7.8766491997e+07,4.2323202087e+07,4.2323202087e+07
2020-03-15 15:25:00,7.3392971254e+07,7.3392971254e+07,6.1692864982e+07,6.1692864982e+07
2020-03-15 15:30:00,1.0793955728e+08,1.0793955728e+08,3.6169873080e+07,3.6169873080e+07
2020-03-15 15:35:00,7.1210817003e+07,7.1210817003e+07,5.9220139021e+07,5.9220139021e+07
2020-03-15 15:40:00,8.0063577462e+07,8.0063577462e+07,3.3470455929e+07,3.3470455929e+07
2020-03-15 15:45:00,6.3979974762e+07,6.3979974762e+07,5.4571850713e+07,5.4571850713e+07
2020-03-15 15:50:00,8.1168788128e+07,8.1168788128e+07,4.0451418873e+07,4.0451418873e+07
2020-03-15 15:55:00,6.3727218240e+07,6.3727218240e+07,5.7962217461e+07,5.7962217461e+07
2020-03-15 16:00:00,6.3363860648e+07,6.3363860648e+07,3.6981997154e+07,3.6981997154e+07
2020-03-15 16:05:00,6.9921371312e+07,6.9921371312e+07,5.6965970507e+07,5.6965970507e+07
2020-03-15 16:10:00,7.1220916488e+07,7.1220916488e+07,4.4038688595e+07,4.4038688595e+07
2020-03-15 16:15:00,7.5518080332e+07,7.5518080332e+07,6.0276060011e+07,6.0276060011e+07
2020-03-15 16:20:00,7.4181252131e+07,7.4181252131e+07,4.3115428064e+07,4.3115428064e+07
2020-03-15 16:25:00,6.6609877620e+07,6.6609877620e+07,5.6107724573e+07,5.6107724573e+07
