DATE,GRIT,GRIT_peak,ITGR,GRIT_peak
2020-03-22 10:35:00,4.9153872760e+09,4.9153872760e+09,5.2373296724e+09,5.2373296724e+09
2020-03-22 10:40:00,6.2584042501e+09,6.2584042501e+09,6.2678208575e+09,6.2678208575e+09
2020-03-22 10:45:00,5.7423440129e+09,5.7423440129e+09,5.3537955952e+09,5.3537955952e+09
2020-03-22 10:50:00,6.2303518161e+09,6.2303518161e+09,4.1342847996e+09,4.1342847996e+09
2020-03-22 10:55:00,6.7574762232e+09,6.7574762232e+09,5.3492815411e+09,5.3492815411e+09
2020-03-22 11:00:00,5.6707942556e+09,5.6707942556e+09,4.3022548565e+09,4.3022548565e+09
2020-03-22 11:05:00,5.8899204927e+09,5.8899204927e+09,4.3838605714e+09,4.3838605714e+09
2020-03-22 11:10:00,4.8346457306e+09,4.8346457306e+09,4.5131303112e+09,4.5131303112e+09
2020-03-22 11:15:00,6.2832621909e+09,6.2832621909e+09,4.8212246695e+09,4.8212246695e+09
2020-03-22 11:20:00,6.1407606705e+09,6.1407606705e+09,3.8579357119e+09,3.8579357119e+09
2020-03-22 11:25:00,5.9742931630e+09,5.9742931630e+09,4.9857102814e+09,4.9857102814e+09
2020-03-22 11:30:00,6.3607927710e+09,6.3607927710e+09,4.2134199808e+09,4.2134199808e+09
2020-03-22 11:35:00,5.6576136946e+09,5.6576136946e+09,4.8747455888e+09,4.8747455888e+09
2020-03-22 11:40:00,4.5737607975e+09,4.5737607975e+09,5.7627763993e+09,5.7627763993e+09
2020-03-22 11:45:00,6.1016681822e+09,6.1016681822e+09,5.2202557128e+09,5.2202557128e+09
2020-03-22 11:50:00,6.3532255391e+09,6.3532255391e+09,5.1254482879e+09,5.1254482879e+09
2020-03-22 11:55:00,6.2666501266e+09,6.2666501266e+09,6.0678339126e+09,6.0678339126e+09
2020-03-22 12:00:00,5.9648540776e+09,5.9648540776e+09,5.3450735978e+09,5.3450735978e+09
2020-03-22 12:05:00,5.8497756847e+09,5.8497756847e+09,5.1802865640e+09,5.1802865640e+09
2020-03-22 12:10:00,5.3999503803e+09,5.3999503803e+09,5.6853243152e+09,5.6853243152e+09
2020-03-22 12:15:00,5.1573294393e+09,5.1573294393e+09,4.8708060495e+09,4.8708060495e+09
2020-03-22 12:20:00,4.3637589748e+09,4.3637589748e+09,5.3613157175e+09,5.3613157175e+09
2020-03-22 12:25:00,4.6940254333e+09,4.6940254333e+09,6.4631446276e+09,6.4631446276e+09
2020-03-22 12:30:00,5.3627252476e+09,5.3627252476e+09,3.5972694699e+09,3.5972694699e+09
2020-03-22 12:35:00,5.8632485932e+09,5.8632485932e+09,4.6024120552e+09,4.6024120552e+09
2020-03-22 12:40:00,5.8726147714e+09,5.8726147714e+09,4.4202246400e+09,4.4202246400e+09
2020-03-22 12:45:00,5.3684034581e+09,5.3684034581e+09,4.0167027157e+09,4.0167027157e+09
2020-03-22 12:50:00,5.4114386215e+09,5.4114386215e+09,5.1016113460e+09,5.1016113460e+09
2020-03-22 12:55:00,6.1318046659e+09,6.1318046659e+09,4.3048493633e+09,4.3048493633e+09
2020-03-22 13:00:00,5.8460718537e+09,5.8460718537e+09,3.2112601460e+09,3.2112601460e+09
2020-03-22 13:05:00,6.6457671068e+09,6.6457671068e+09,5.9403626847e+09,5.9403626847e+09
2020-03-22 13:10:00,5.5604173482e+09,5.5604173482e+09,6.4777894005e+09,6.4777894005e+09
2020-03-22 13:15:00,5.3932690628e+09,5.3932690628e+09,5.3887152106e+09,5.3887152106e+09
2020-03-22 13:20:00,5.3993104256e+09,5.3993104256e+09,5.8114642343e+09,5.8114642343e+09
2020-03-22 13:25:00,6.2559951019e+09,6.2559951019e+09,5.7308199822e+09,5.7308199822e+09
2020-03-22 13:30:00,5.4343317640e+09,5.4343317640e+09,4.0464326912e+09,4.0464326912e+09
2020-03-22 13:35:00,6.1975859425e+09,6.1975859425e+09,4.3612155577e+09,4.3612155577e+09
2020-03-22 13:40:00,5.7740532145e+09,5.7740532145e+09,5.1094485202e+09,5.1094485202e+09
2020-03-22 13:45:00,5.9650661348e+09,5.9650661348e+09,4.6731379817e+09,4.6731379817e+09
2020-03-22 13:50:00,6.5834069197e+09,6.5834069197e+09,5.1553431193e+09,5.1553431193e+09
2020-03-22 13:55:00,6.2296297527e+09,6.2296297527e+09,7.4268959508e+09,7.4268959508e+09
2020-03-22 14:00:00,6.3255429106e+09,6.3255429106e+09,5.7996534566e+09,5.7996534566e+09
2020-03-22 14:05:00,5.3970502800e+09,5.3970502800e+09,4.5914624319e+09,4.5914624319e+09
2020-03-22 14:10:00,5.8145006242e+09,5.8145006242e+09,5.5054873740e+09,5.5054873740e+09
2020-03-22 14:15:00,5.8693053027e+09,5.8693053027e+09,6.3498702962e+09,6.3498702962e+09
2020-03-22 14:20:00,5.9019305098e+09,5.9019305098e+09,5.1450678224e+09,5.1450678224e+09
2020-03-22 14:25:00,6.0143812824e+09,6.0143812824e+09,4.4560393673e+09,4.4560393673e+09
2020-03-22 14:30:00,5.7997535782e+09,5.7997535782e+09,4.3879272241e+09,4.3879272241e+09
2020-03-22 14:35:00,5.6351331836e+09,5.6351331836e+09,5.2650430184e+09,5.2650430184e+09
2020-03-22 14:40:00,5.2162934770e+09,5.2162934770e+09,5.9833602050e+09,5.9833602050e+09
2020-03-22 14:45:00,5.2247042801e+09,5.2247042801e+09,7.4767944385e+09,7.4767944385e+09
2020-03-22 14:50:00,4.2898846449e+09,4.2898846449e+09,7.4229577783e+09,7.4229577783e+09
2020-03-22 14:55:00,6.2881373393e+09,6.2881373393e+09,5.2350035858e+09,5.2350035858e+09
2020-03-22 15:00:00,5.5595556263e+09,5.5595556263e+09,5.4604403919e+09,5.4604403919e+09
2020-03-22 15:05:00,5.0914470919e+09,5.0914470919e+09,5.8895587261e+09,5.8895587261e+09
2020-03-22 15:10:00,4.6081686250e+09,4.6081686250e+09,5.4222948990e+09,5.4222948990e+09
2020-03-22 15:15:00,5.8236800054e+09,5.8236800054e+09,5.2273990182e+09,5.2273990182e+09
2020-03-22 15:20:00,5.8404691959e+09,5.8404691959e+09,5.7842041608e+09,5.7842041608e+09
2020-03-22 15:25:00,5.8847078555e+09,5.8847078555e+09,5.2374862449e+09,5.2374862449e+09
2020-03-22 15:30:00,6.0479932256e+09,6.0479932256e+09,4.9767413746e+09,4.9767413746e+09
2020-03-22 15:35:00,5.9252293946e+09,5.9252293946e+09,5.9535436013e+09,5.9535436013e+09
2020-03-22 15:40:00,5.9901662231e+09,5.9901662231e+09,5.8530967112e+09,5.8530967112e+09
2020-03-22 15:45:00,5.8433061176e+09,5.8433061176e+09,4.4506961915e+09,4.4506961915e+09
2020-03-22 15:50:00,6.2453933259e+09,6.2453933259e+09,5.1392098251e+09,5.1392098251e+09
2020-03-22 15:55:00,6.1405486548e+09,6.1405486548e+09,4.4975237099e+09,4.4975237099e+09
2020-03-22 16:00:00,6.0692429709e+09,6.0692429709e+09,4.1576540174e+09,4.1576540174e+09
2020-03-22 16:05:00,5.9345306615e+09,5.9345306615e+09,5.8800807424e+09,5.8800807424e+09
2020-03-22 16:10:00,6.2174184930e+09,6.2174184930e+09,6.2219913327e+09,6.2219913327e+09
2020-03-22 16:15:00,5.8267909687e+09,5.8267909687e+09,6.6846650373e+09,6.6846650373e+09
2020-03-22 16:20:00,5.0825521447e+09,5.0825521447e+09,6.0245080781e+09,6.0245080781e+09
2020-03-22 16:25:00,5.3949549633e+09,5.3949549633e+09,4.0512215942e+09,4.0512215942e+09
2020-03-22 16:30:00,5.1575758166e+09,5.1575758166e+09,4.0801768776e+09,4.0801768776e+09
2020-03-22 16:35:00,6.2345740754e+09,6.2345740754e+09,3.6221174690e+09,3.6221174690e+09
2020-03-22 16:40:00,6.1446161054e+09,6.1446161054e+09,3.7647278399e+09,3.7647278399e+09
2020-03-22 16:45:00,6.1186780151e+09,6.1186780151e+09,5.2042928482e+09,5.2042928482e+09
2020-03-22 16:50:00,6.1518942489e+09,6.1518942489e+09,5.1995408907e+09,5.1995408907e+09
2020-03-22 16:55:00,5.0415077727e+09,5.0415077727e+09,5.0580448464e+09,5.0580448464e+09
2020-03-22 17:00:00,4.2462281804e+09,4.2462281804e+09,3.6509090851e+09,3.6509090851e+09
2020-03-22 17:05:00,5.6702224624e+09,5.6702224624e+09,3.6634788838e+09,3.6634788838e+09
2020-03-22 17:10:00,4.2599458443e+09,4.2599458443e+09,3.9691793985e+09,3.9691793985e+09
2020-03-22 17:15:00,4.6159150367e+09,4.6159150367e+09,3.8073944777e+09,3.8073944777e+09
2020-03-22 17:20:00,5.4928942961e+09,5.4928942961e+09,3.1664886404e+09,3.1664886404e+09
2020-03-22 17:25:00,6.2311163874e+09,6.2311163874e+09,3.1906976283e+09,3.1906976283e+09
2020-03-22 17:30:00,5.4500183402e+09,5.4500183402e+09,2.8416411121e+09,2.8416411121e+09
2020-03-22 17:35:00,5.8584159600e+09,5.8584159600e+09,5.3766331057e+09,5.3766331057e+09
2020-03-22 17:40:00,6.4851341719e+09,6.4851341719e+09,6.0762047976e+09,6.0762047976e+09
2020-03-22 17:45:00,6.3453271162e+09,6.3453271162e+09,6.6664794029e+09,6.6664794029e+09
2020-03-22 17:50:00,6.7952640662e+09,6.7952640662e+09,8.5005041644e+09,8.5005041644e+09
2020-03-22 17:55:00,5.7805172245e+09,5.7805172245e+09,7.3661762587e+09,7.3661762587e+09
2020-03-22 18:00:00,6.2197702035e+09,6.2197702035e+09,6.0314871588e+09,6.0314871588e+09
2020-03-22 18:05:00,6.2903149838e+09,6.2903149838e+09,6.5510172597e+09,6.5510172597e+09
2020-03-22 18:10:00,5.6556204846e+09,5.6556204846e+09,8.3250714097e+09,8.3250714097e+09
2020-03-22 18:15:00,4.9206254638e+09,4.9206254638e+09,8.2835264568e+09,8.2835264568e+09
2020-03-22 18:20:00,5.2868216269e+09,5.2868216269e+09,7.4396880891e+09,7.4396880891e+09
2020-03-22 18:25:00,4.8228064589e+09,4.8228064589e+09,5.8788339741e+09,5.8788339741e+09
2020-03-22 18:30:00,5.1114266935e+09,5.1114266935e+09,4.6538243695e+09,4.6538243695e+09
2020-03-22 18:35:00,5.0125322250e+09,5.0125322250e+09,5.0861506015e+09,5.0861506015e+09
2020-03-22 18:40:00,4.9338213513e+09,4.9338213513e+09,5.9395643816e+09,5.9395643816e+09
2020-03-22 18:45:00,5.2455454074e+09,5.2455454074e+09,6.1994815390e+09,6.1994815390e+09
2020-03-22 18:50:00,5.1297663320e+09,5.1297663320e+09,5.0692005900e+09,5.0692005900e+09
